functionname,protocol,device,subdevice,function
KEY_CD,NECx,44,44,3
KEY_PLAY,NECx,44,44,4
KEY_STOP,NECx,44,44,5
KEY_REWIND,NECx,44,44,6
KEY_FORWARD,NECx,44,44,7
KEY_VIDEO,NECx,44,44,9
preset-,NECx,44,44,18
preset+,NECx,44,44,19
KEY_VOLUMEDOWN,NECx,44,44,22
KEY_VOLUMEUP,NECx,44,44,23
KEY_POWER,NECx,44,44,30
KEY_MUTE,NECx,44,44,31
KEY_1,NECx,44,44,65
KEY_2,NECx,44,44,66
KEY_3,NECx,44,44,67
KEY_4,NECx,44,44,68
KEY_5,NECx,44,44,69
KEY_6,NECx,44,44,70
KEY_7,NECx,44,44,71
KEY_8,NECx,44,44,72
KEY_9,NECx,44,44,73
KEY_0,NECx,44,44,75
pmode,NECx,44,44,77
KEY_AGAIN,NECx,44,44,78
KEY_PAUSE,NECx,44,44,79
KEY_TUNER,NECx,44,44,89
rds,NECx,44,44,96
KEY_EJECTCD,NECx,44,44,154
listen-mode,NECx,44,44,161
KEY_POWER,NECx,44,44,163
KEY_MENU,NECx,44,44,164
KEY_SETUP,NECx,44,44,165
KEY_DOWN,NECx,44,44,166
KEY_UP,NECx,44,44,167
KEY_LEFT,NECx,44,44,168
KEY_RIGHT,NECx,44,44,169
KEY_ENTER,NECx,44,44,170
KEY_ANGLE,NECx,44,44,172
a-b,NECx,44,44,173
KEY_ZOOM,NECx,44,44,174
top-menu,NECx,44,44,175
KEY_CLEAR,NECx,44,44,176
slow-,NECx,44,44,177
slow+,NECx,44,44,178
KEY_SEARCH,NECx,44,44,179
marker,NECx,44,44,180
KEY_SLEEP,NECx,44,44,194
