functionname,protocol,device,subdevice,function
memory,NEC,65,-1,0
KEY_1,NEC,65,-1,1
KEY_2,NEC,65,-1,2
KEY_3,NEC,65,-1,3
KEY_4,NEC,65,-1,4
KEY_5,NEC,65,-1,5
KEY_6,NEC,65,-1,6
KEY_7,NEC,65,-1,7
KEY_8,NEC,65,-1,8
KEY_9,NEC,65,-1,9
KEY_POWER,NEC,65,-1,10
KEY_SLEEP,NEC,65,-1,11
KEY_0,NEC,65,-1,12
auto,NEC,65,-1,14
pscan,NEC,65,-1,15
KEY_MUTE,NEC,65,-1,21
tuneup,NEC,65,-1,22
tunedn,NEC,65,-1,23
KEY_CD,NEC,65,-1,24
KEY_TV,NEC,65,-1,26
am_fm,NEC,65,-1,27
KEY_VCR,NEC,65,-1,28
KEY_TAPE,NEC,65,-1,29
KEY_VOLUMEDOWN,NEC,65,-1,30
KEY_VOLUMEUP,NEC,65,-1,31
