functionname,protocol,device,subdevice,function
0,RC5,7,-1,0
1,RC5,7,-1,1
2,RC5,7,-1,2
3,RC5,7,-1,3
4,RC5,7,-1,4
5,RC5,7,-1,5
6,RC5,7,-1,6
7,RC5,7,-1,7
8,RC5,7,-1,8
9,RC5,7,-1,9
POWER,RC5,7,-1,12
MUTE,RC5,7,-1,13
HELP,RC5,7,-1,14
RIGHT,RC5,7,-1,16
LEFT,RC5,7,-1,17
SELECT,RC5,7,-1,30
UP,RC5,7,-1,32
DOWN,RC5,7,-1,33
LIST,RC5,7,-1,35
TONE,RC5,7,-1,36
MENU,RC5,7,-1,37
EXIT,RC5,7,-1,41
AV,RC5,7,-1,42
TIMER,RC5,7,-1,43
YELLOW,RC5,7,-1,50
BLUE,RC5,7,-1,52
RADIO,RC5,7,-1,53
GREEN,RC5,7,-1,54
RED,RC5,7,-1,55
I,RC5,7,-1,56
OK,RC5,7,-1,59
VTX,RC5,7,-1,60
TV,RC5,7,-1,63
