functionname,protocol,device,subdevice,function
POWER,NECx,45,45,48
PLAY,NECx,45,45,49
REWIND,NECx,45,45,50
FASTFORWARD,NECx,45,45,51
FORWARD,NECx,45,45,52
BACK,NECx,45,45,53
OPEN,NECx,45,45,54
PAUSE,NECx,45,45,56
STOP,NECx,45,45,57
1,NECx,45,45,59
2,NECx,45,45,60
3,NECx,45,45,61
4,NECx,45,45,62
5,NECx,45,45,63
6,NECx,45,45,64
7,NECx,45,45,65
8,NECx,45,45,66
9,NECx,45,45,67
0,NECx,45,45,68
X_KEY_RETURN,NECx,45,45,69
UP,NECx,45,45,71
DOWN,NECx,45,45,72
TITLE,NECx,45,45,74
MENU,NECx,45,45,75
ANGLE,NECx,45,45,76
AUDIO,NECx,45,45,79
SUBTITLE,NECx,45,45,80
SUBTITLE,NECx,45,45,80
AB,NECx,45,45,85
ENTER,NECx,45,45,88
LEFT,NECx,45,45,89
RIGHT,NECx,45,45,90
X_KEY_PIP,NECx,45,45,95
X_KEY_MARKER,NECx,45,45,97
SEARCH,NECx,45,45,98
ZOOM,NECx,45,45,100
HOME,NECx,45,45,103
POWER,NECx,45,45,117
POWER,NECx,45,45,118
CLEAR,NECx,45,45,124
A,NECx,45,45,124
RED,NECx,45,45,124
B,NECx,45,45,125
GREEN,NECx,45,45,125
C,NECx,45,45,126
YELLOW,NECx,45,45,126
D,NECx,45,45,127
BLUE,NECx,45,45,127
X_KEY_RESOLUTION,NECx,45,45,245
SUBTITLE,NECx,45,45,247
