functionname,protocol,device,subdevice,function
CHANNEL+,NEC,4,-1,0
CHANNEL-,NEC,4,-1,1
VOLUME+,NEC,4,-1,2
VOLUME-,NEC,4,-1,3
POWER,NEC,4,-1,8
MUTE,NEC,4,-1,9
TV/VIDEO,NEC,4,-1,11
PICTURE,NEC,4,-1,12
SLEEP,NEC,4,-1,14
0,NEC,4,-1,16
1,NEC,4,-1,17
2,NEC,4,-1,18
3,NEC,4,-1,19
4,NEC,4,-1,20
5,NEC,4,-1,21
6,NEC,4,-1,22
7,NEC,4,-1,23
8,NEC,4,-1,24
9,NEC,4,-1,25
REVIEW,NEC,4,-1,26
FCR,NEC,4,-1,30
CAPTION,NEC,4,-1,57
MENU,NEC,4,-1,67
ENTER,NEC,4,-1,68
APC,NEC,4,-1,77
AUTOPRG,NEC,4,-1,84
MEMORY/ERASE,NEC,4,-1,85
WIDE/ZOOM,NEC,4,-1,121
