functionname,protocol,device,subdevice,function
POWER,NEC,3,-1,0
TVFM,NEC,3,-1,2
F11,NEC,3,-1,3
VOLUME+,NEC,3,-1,4
NUM1,NEC,3,-1,5
NUM2,NEC,3,-1,6
NUM3,NEC,3,-1,7
VOLUME-,NEC,3,-1,8
NUM4,NEC,3,-1,9
NUM5,NEC,3,-1,10
NUM6,NEC,3,-1,11
CHANNEL+,NEC,3,-1,12
NUM7,NEC,3,-1,13
NUM8,NEC,3,-1,14
NUM9,NEC,3,-1,15
CHANNEL-,NEC,3,-1,16
AGAIN,NEC,3,-1,17
NUM0,NEC,3,-1,18
ENTER,NEC,3,-1,19
MUTE,NEC,3,-1,20
DISPLAY,NEC,3,-1,22
FINETUNE_UP,NEC,3,-1,24
FINETUNE_DOWN,NEC,3,-1,25
MTS,NEC,3,-1,27
VIDEO,NEC,3,-1,30
TEXT,NEC,3,-1,31
SLEEP,NEC,3,-1,64
PERIOD,NEC,3,-1,65
BACK,NEC,3,-1,66
PLAY,NEC,3,-1,67
NEXT,NEC,3,-1,68
TIMESHIFTING,NEC,3,-1,69
STOP,NEC,3,-1,70
RECORD,NEC,3,-1,71
SNAPSHOT,NEC,3,-1,72
BOSS,NEC,3,-1,73
PIP,NEC,3,-1,74
RED,NEC,3,-1,75
GREEN,NEC,3,-1,76
YELLOW,NEC,3,-1,77
BLUE,NEC,3,-1,78
