functionname,protocol,device,subdevice,function
KEY_EXIT,MCE,4,69,12
KEY_MUTE,MCE,4,69,13
KEY_VOLUMEUP,MCE,4,69,16
KEY_VOLUMEDOWN,MCE,4,69,17
KEY_CHANNELUP,MCE,4,69,30
KEY_CHANNELDOWN,MCE,4,69,31
KEY_NEXT,MCE,4,69,32
KEY_PREVIOUS,MCE,4,69,33
KEY_FORWARD,MCE,4,69,40
KEY_REWIND,MCE,4,69,41
KEY_PLAYPAUSE,MCE,4,69,44
KEY_TV,MCE,4,69,46
KEY_PAUSE,MCE,4,69,48
KEY_STOP,MCE,4,69,49
KEY_RECORD,MCE,4,69,55
KEY_LIST,MCE,4,69,62
KEY_MEDIA,MCE,4,69,84
KEY_UP,MCE,4,69,88
KEY_DOWN,MCE,4,69,89
KEY_LEFT,MCE,4,69,90
KEY_RIGHT,MCE,4,69,91
KEY_ENTER,MCE,4,69,92
KEY_HOME,MCE,4,69,93
KEY_BACK,MCE,4,69,131
KEY_PVR,MCE,4,69,155
KEY_INFO,MCE,4,69,203
