functionname,protocol,device,subdevice,function
0,RC6,4,-1,0
1,RC6,4,-1,1
2,RC6,4,-1,2
3,RC6,4,-1,3
4,RC6,4,-1,4
5,RC6,4,-1,5
6,RC6,4,-1,6
7,RC6,4,-1,7
8,RC6,4,-1,8
9,RC6,4,-1,9
POWER OFF,RC6,4,-1,12
DISPLAY,RC6,4,-1,15
SKIP >>,RC6,4,-1,32
SKIP <<,RC6,4,-1,33
PLAY,RC6,4,-1,44
POWER ON,RC6,4,-1,44
PAUSE,RC6,4,-1,48
STOP,RC6,4,-1,49
OPEN/CLOSE,RC6,4,-1,66
SUBTITLE,RC6,4,-1,75
AUDIO MODE,RC6,4,-1,78
MENU,RC6,4,-1,84
UP,RC6,4,-1,88
DOWN,RC6,4,-1,89
LEFT,RC6,4,-1,90
RIGHT,RC6,4,-1,91
ENTER,RC6,4,-1,92
TOP MENU,RC6,4,-1,113
SETUP,RC6,4,-1,130
ANGLE,RC6,4,-1,133
