functionname,protocol,device,subdevice,function
KEY 0,RC5,0,-1,0
0,RC5,0,-1,0
KEY 1,RC5,0,-1,1
1,RC5,0,-1,1
KEY 2,RC5,0,-1,2
2,RC5,0,-1,2
KEY 3,RC5,0,-1,3
3,RC5,0,-1,3
KEY 4,RC5,0,-1,4
4,RC5,0,-1,4
KEY 5,RC5,0,-1,5
5,RC5,0,-1,5
KEY 6,RC5,0,-1,6
6,RC5,0,-1,6
KEY 7,RC5,0,-1,7
7,RC5,0,-1,7
KEY 8,RC5,0,-1,8
8,RC5,0,-1,8
KEY 9,RC5,0,-1,9
9,RC5,0,-1,9
PIP ON/OFF,RC5,0,-1,10
INPUT TOGGLE,RC5,0,-1,10
PIP,RC5,0,-1,10
INOUT,RC5,0,-1,10
PIP AUDIO MONITOR,RC5,0,-1,10
MENU,RC5,0,-1,11
MENU KEY,RC5,0,-1,11
M (MENY),RC5,0,-1,11
TV ON/OFF,RC5,0,-1,12
POWER TOGGLE,RC5,0,-1,12
POWER,RC5,0,-1,12
MUTE,RC5,0,-1,13
NORMAL,RC5,0,-1,14
POWER ON,RC5,0,-1,14
POWER: ON,RC5,0,-1,14
EPG,RC5,0,-1,15
FAVORITE,RC5,0,-1,15
CURSOR RIGHT,RC5,0,-1,16
GER,RC5,0,-1,16
VOLUME +,RC5,0,-1,16
CURSOR LEFT,RC5,0,-1,17
CURSOR,RC5,0,-1,17
NSTER,RC5,0,-1,17
POWER OFF,RC5,0,-1,18
INPUT: COMPONENT 1,RC5,0,-1,19
VID 1C / ANT A,RC5,0,-1,19
VOLUME UP,RC5,0,-1,20
VOLUME -,RC5,0,-1,20
VGA,RC5,0,-1,20
VOLUME DOWN,RC5,0,-1,21
VOLUME +,RC5,0,-1,21
TV ON,RC5,0,-1,22
POWER ON,RC5,0,-1,22
PROGRAM -,RC5,0,-1,23
CHANNEL -,RC5,0,-1,23
PROGRAM +,RC5,0,-1,24
CHANNEL +,RC5,0,-1,24
TV OFF,RC5,0,-1,25
POWER OFF,RC5,0,-1,25
GREEN,RC5,0,-1,26
WINDOW,RC5,0,-1,26
N KNAPP,RC5,0,-1,26
,RC5,0,-1,26
