functionname,protocol,device,subdevice,function
KEY_0,RC5,0,-1,0
KEY_1,RC5,0,-1,1
KEY_2,RC5,0,-1,2
KEY_3,RC5,0,-1,3
KEY_4,RC5,0,-1,4
KEY_5,RC5,0,-1,5
KEY_6,RC5,0,-1,6
KEY_7,RC5,0,-1,7
KEY_8,RC5,0,-1,8
KEY_9,RC5,0,-1,9
blau-,RC5,0,-1,10
KEY_MENU,RC5,0,-1,11
aus,RC5,0,-1,12
KEY_MUTE,RC5,0,-1,13
reset,RC5,0,-1,14
KEY_KPPLUS,RC5,0,-1,15
loud+,RC5,0,-1,16
loud-,RC5,0,-1,17
bright+,RC5,0,-1,18
bright-,RC5,0,-1,19
color+,RC5,0,-1,20
color-,RC5,0,-1,21
gruen,RC5,0,-1,26
rot,RC5,0,-1,27
KEY_CHANNELUP,RC5,0,-1,32
KEY_CHANNELDOWN,RC5,0,-1,33
KEY_LIST,RC5,0,-1,35
KEY_X,RC5,0,-1,38
KEY_INFO,RC5,0,-1,39
blau,RC5,0,-1,40
timer,RC5,0,-1,42
gelb,RC5,0,-1,43
?,RC5,0,-1,44
gelb+,RC5,0,-1,45
blau+,RC5,0,-1,46
bildr,RC5,0,-1,47
bild=,RC5,0,-1,48
gelb-,RC5,0,-1,49
KEY_KPMINUS,RC5,0,-1,50
loud,RC5,0,-1,53
bright,RC5,0,-1,54
color,RC5,0,-1,55
vt,RC5,0,-1,60
KEY_TV,RC5,0,-1,63
