functionname,protocol,device,subdevice,function
PAGE+,Gap-320-1594-16?,71,-1,0
MOUSE_N,Gap-320-1594-16?,71,-1,1
MOUSE_S,Gap-320-1594-16?,71,-1,2
BACKSPACE,Gap-320-1594-16?,71,-1,3
BTN_RIGHT,Gap-320-1594-16?,71,-1,4
VOLUME+,Gap-320-1594-16?,71,-1,5
PAGE-,Gap-320-1594-16?,71,-1,6
AGAIN,Gap-320-1594-16?,71,-1,7
RIGHT,Gap-320-1594-16?,71,-1,8
BTN_LEFT,Gap-320-1594-16?,71,-1,9
VOLUME-,Gap-320-1594-16?,71,-1,10
CYCLEWINDOWS,Gap-320-1594-16?,71,-1,11
MOUSE_E,Gap-320-1594-16?,71,-1,12
MOUSE_W,Gap-320-1594-16?,71,-1,13
ESC,Gap-320-1594-16?,71,-1,14
PC,Gap-320-1594-16?,71,-1,15
ENTER,Gap-320-1594-16?,71,-1,16
STOP,Gap-320-1594-16?,71,-1,17
MUTE,Gap-320-1594-16?,71,-1,18
UP,Gap-320-1594-16?,71,-1,19
NEXT,Gap-320-1594-16?,71,-1,20
FASTFORWARD,Gap-320-1594-16?,71,-1,21
DOWN,Gap-320-1594-16?,71,-1,22
SWITCHVIDEOMODE,Gap-320-1594-16?,71,-1,23
LEFT,Gap-320-1594-16?,71,-1,24
PLAYPAUSE,Gap-320-1594-16?,71,-1,25
ZOOM,Gap-320-1594-16?,71,-1,26
TAB,Gap-320-1594-16?,71,-1,27
PREVIOUS,Gap-320-1594-16?,71,-1,28
REWIND,Gap-320-1594-16?,71,-1,29
OPEN,Gap-320-1594-16?,71,-1,30
NUMLOCK,Gap-320-1594-16?,71,-1,31
TV,Gap-320-1594-16?,71,-1,32
CAMERA,Gap-320-1594-16?,71,-1,33
VIDEO,Gap-320-1594-16?,71,-1,34
AUDIO,Gap-320-1594-16?,71,-1,35
CLOSE,Gap-320-1594-16?,71,-1,36
WWW,Gap-320-1594-16?,71,-1,37
EMAIL,Gap-320-1594-16?,71,-1,38
POWER,Gap-320-1594-16?,71,-1,39
MOUSE_NE,Gap-320-1594-16?,71,-1,140
MOUSE_NW,Gap-320-1594-16?,71,-1,141
MOUSE_SE,Gap-320-1594-16?,71,-1,204
MOUSE_SW,Gap-320-1594-16?,71,-1,205
