functionname,protocol,device,subdevice,function
RED,NEC,64,-1,1
GREEN,NEC,64,-1,2
BLUE,NEC,64,-1,3
RED1,NEC,64,-1,4
GREEN1,NEC,64,-1,5
BLUE4,NEC,64,-1,6
RED2,NEC,64,-1,7
BLUE1,NEC,64,-1,8
PURPLE1,NEC,64,-1,9
ORANGE,NEC,64,-1,10
BLUE2,NEC,64,-1,11
CANCEL,NEC,64,-1,12
YELLOW,NEC,64,-1,13
BLUE3,NEC,64,-1,14
STROBE,NEC,64,-1,15
SMOOTH,NEC,64,-1,16
FLASH,NEC,64,-1,17
FADE,NEC,64,-1,19
OFF,NEC,64,-1,21
PURPLE2,NEC,64,-1,23
SETUP,NEC,64,-1,24
WHITE,NEC,64,-1,25
POWER,NEC,64,-1,26
POWER,NEC,64,-1,27
POWER,NEC,64,-1,28
PURPLE3,NEC,64,-1,29
POWER,NEC,64,-1,30
POWER,NEC,64,-1,31
