functionname,protocol,device,subdevice,function
KEY_4,NEC,134,-1,0
KEY_1,NEC,134,-1,1
KEY_3,NEC,134,-1,2
KEY_POWER,NEC,134,-1,3
KEY_7,NEC,134,-1,4
KEY_5,NEC,134,-1,5
KEY_6,NEC,134,-1,6
KEY_AUDIO,NEC,134,-1,7
TB,NEC,134,-1,8
KEY_8,NEC,134,-1,9
KEY_9,NEC,134,-1,10
TV/SAT,NEC,134,-1,11
KEY_CHANNELUP,NEC,134,-1,12
KEY_0,NEC,134,-1,13
KEY_LAST,NEC,134,-1,15
VOL,NEC,134,-1,16
CH_DN,NEC,134,-1,17
KEY_MUTE,NEC,134,-1,18
FREQ,NEC,134,-1,19
KEY_2,NEC,134,-1,20
KEY_PC,NEC,134,-1,21
PE,NEC,134,-1,22
OFFSET,NEC,134,-1,23
KEY_VOLUMEDOWN,NEC,134,-1,25
H/V,NEC,134,-1,27
KEY_TIME,NEC,134,-1,28
KEY_2KHZ,NEC,134,-1,29
MEM,NEC,134,-1,30
LNB_A/B,NEC,134,-1,31
