functionname,protocol,device,subdevice,function
0,RC6,4,-1,0
1,RC6,4,-1,1
2,RC6,4,-1,2
3,RC6,4,-1,3
4,RC6,4,-1,4
5,RC6,4,-1,5
6,RC6,4,-1,6
7,RC6,4,-1,7
8,RC6,4,-1,8
9,RC6,4,-1,9
POWER,RC6,4,-1,12
MUTE,RC6,4,-1,13
DISPLAY,RC6,4,-1,15
REPEAT,RC6,4,-1,29
NEXT,RC6,4,-1,32
PREV,RC6,4,-1,33
PLAY,RC6,4,-1,44
PAUSE,RC6,4,-1,48
STOP,RC6,4,-1,49
REPEAT A-B,RC6,4,-1,59
SUBTITLE,RC6,4,-1,75
AUDIO MODE,RC6,4,-1,78
MENU DISC,RC6,4,-1,84
CURSOR UP,RC6,4,-1,88
CURSOR DOWN,RC6,4,-1,89
CURSOR LEFT,RC6,4,-1,90
CURSOR RIGHT,RC6,4,-1,91
CURSOR OK,RC6,4,-1,92
MENU SYSTEM,RC6,4,-1,130
TITLE,RC6,4,-1,131
ANGLE,RC6,4,-1,133
PREVIEW,RC6,4,-1,213
ZOOM,RC6,4,-1,247
