functionname,protocol,device,subdevice,function
PAUSE,NEC,0,-1,0
PLAY,NEC,0,-1,1
SLOW,NEC,0,-1,2
STOP,NEC,0,-1,3
NEXT,NEC,0,-1,4
PREVIOUS,NEC,0,-1,5
FORWARD,NEC,0,-1,6
REV,NEC,0,-1,7
CLEAR/EQ,NEC,0,-1,8
0+,NEC,0,-1,9
0,NEC,0,-1,10
9,NEC,0,-1,11
8,NEC,0,-1,12
7,NEC,0,-1,13
6,NEC,0,-1,14
5,NEC,0,-1,15
4,NEC,0,-1,16
3,NEC,0,-1,17
2,NEC,0,-1,18
1,NEC,0,-1,19
RESUME,NEC,0,-1,20
VOLUME-,NEC,0,-1,21
RAN,NEC,0,-1,22
AGAIN,NEC,0,-1,23
STEP,NEC,0,-1,24
VOLUME+,NEC,0,-1,25
L/R,NEC,0,-1,26
A-B,NEC,0,-1,27
PBC,NEC,0,-1,28
RIGHT,NEC,0,-1,29
DOWN,NEC,0,-1,30
SETUP,NEC,0,-1,31
POWER,NEC,0,-1,64
DISPLAY,NEC,0,-1,65
LEFT,NEC,0,-1,66
MENU,NEC,0,-1,67
LANGUAGE,NEC,0,-1,68
ANGLE,NEC,0,-1,69
TITLE,NEC,0,-1,70
ENTER,NEC,0,-1,71
B,NEC,0,-1,72
DIESIS,NEC,0,-1,73
UP,NEC,0,-1,74
MUTE,NEC,0,-1,76
PDVB,NEC,0,-1,77
ZOOM,NEC,0,-1,80
TIME,NEC,0,-1,81
VIEW,NEC,0,-1,84
ENTER,NEC,0,-1,85
PROG,NEC,0,-1,88
SUBTITLE,NEC,0,-1,89
OPEN,NEC,0,-1,92
N/P,NEC,0,-1,93
