functionname,protocol,device,subdevice,function
ENTER,NEC,0,-1,0
AGAIN,NEC,0,-1,1
VOLUME-,NEC,0,-1,2
VOLUME+,NEC,0,-1,3
PBC,NEC,0,-1,5
UP,NEC,0,-1,6
ENTER,NEC,0,-1,7
TIME,NEC,0,-1,8
1,NEC,0,-1,9
REWIND,NEC,0,-1,10
4,NEC,0,-1,13
PREVIOUS,NEC,0,-1,14
N/P,NEC,0,-1,15
OPEN,NEC,0,-1,16
7,NEC,0,-1,17
0,NEC,0,-1,18
PAUSE,NEC,0,-1,19
POWER,NEC,0,-1,20
8,NEC,0,-1,21
9,NEC,0,-1,23
A-B,NEC,0,-1,24
5,NEC,0,-1,25
NEXT,NEC,0,-1,26
6,NEC,0,-1,27
2,NEC,0,-1,29
FORWARD,NEC,0,-1,30
3,NEC,0,-1,31
RIGHT,NEC,0,-1,64
R/L,NEC,0,-1,66
VIEW,NEC,0,-1,67
DOWN,NEC,0,-1,68
SETUP,NEC,0,-1,69
LEFT,NEC,0,-1,71
SUBTITLE,NEC,0,-1,72
ANGLE,NEC,0,-1,73
AUDIO,NEC,0,-1,74
PROG,NEC,0,-1,75
TITLE,NEC,0,-1,80
PLAY,NEC,0,-1,81
MENU,NEC,0,-1,82
MUTE,NEC,0,-1,83
SLOW,NEC,0,-1,85
ZOOM,NEC,0,-1,86
0+,NEC,0,-1,89
MENU,NEC,0,-1,94
STOP,NEC,0,-1,95
