functionname,protocol,device,subdevice,function
POWER,NEC1,96,-1,0
0,NEC1,96,-1,3
1,NEC1,96,-1,4
2,NEC1,96,-1,5
4,NEC1,96,-1,7
5,NEC1,96,-1,8
6,NEC1,96,-1,9
7,NEC1,96,-1,10
8,NEC1,96,-1,11
9,NEC1,96,-1,12
100,NEC1,96,-1,13
RETURN,NEC1,96,-1,15
EXIT,NEC1,96,-1,16
INFO,NEC1,96,-1,17
MTS,NEC1,96,-1,18
MENU,NEC1,96,-1,19
COMP,NEC1,96,-1,20
PHOTO,NEC1,96,-1,21
PC,NEC1,96,-1,25
CURSOR LEFT,NEC1,96,-1,28
VOLUME -,NEC1,96,-1,28
CHANNEL -,NEC1,96,-1,29
CURSOR DOWN,NEC1,96,-1,29
WOW,NEC1,96,-1,64
ADD/ERASE,NEC1,96,-1,65
CH EDIT,NEC1,96,-1,66
FAVORITE,NEC1,96,-1,67
CHANNEL +,NEC1,96,-1,68
CURSOR UP,NEC1,96,-1,68
MUTE,NEC1,96,-1,69
CURSOR RIGHT,NEC1,96,-1,72
VOLUME +,NEC1,96,-1,72
ENTER,NEC1,96,-1,81
TV/CATV,NEC1,96,-1,82
SCAN,NEC1,96,-1,83
SLEEP,NEC1,96,-1,84
TXT,NEC1,96,-1,85
V-CHIP,NEC1,96,-1,88
GREEN,NEC1,96,-1,89
YELLOW,NEC1,96,-1,90
CCD,NEC1,96,-1,91
TV/AV,NEC1,96,-1,92
3,NEC1,96,-1,95
