functionname,protocol,device,subdevice,function
PLAY >,NEC2,202,85,1
AMS >>,,NEC2,202,85,2
SKIP >>,,NEC2,202,85,2
NEXT,NEC2,202,85,2
AMS ,<<,NEC2,202,85,3
SKIP ,<<,NEC2,202,85,3
BACK,NEC2,202,85,3
STOP [],NEC2,202,85,4
ACC ON,NEC2,202,85,5
ACC OFF,NEC2,202,85,6
E,NEC2,202,85,7
SAT,NEC2,202,85,8
TV,NEC2,202,85,9
LV,NEC2,202,85,10
VCR 1,NEC2,202,85,11
VCR 2,NEC2,202,85,12
V-AUX,NEC2,202,85,13
CD 1,NEC2,202,85,16
CD 2,NEC2,202,85,17
CD,NEC2,202,85,17
TUNER,NEC2,202,85,18
TAPE 1,NEC2,202,85,19
TAPE 2,NEC2,202,85,20
V,NEC2,202,85,22
VIDEO,NEC2,202,85,22
PH/AUX,NEC2,202,85,23
AUX,NEC2,202,85,23
POWER,NEC2,202,85,64
SYS OFF,NEC2,202,85,65
SYSTEM OFF,NEC2,202,85,65
VOLUME ^,NEC2,202,85,66
VOLUME V,NEC2,202,85,67
SURROUND ^,NEC2,202,85,68
SURROUND V,NEC2,202,85,69
MUTE,NEC2,202,85,70
SP,NEC2,202,85,71
HOME,NEC2,202,85,72
1,NEC2,202,85,80
2,NEC2,202,85,81
3,NEC2,202,85,82
4,NEC2,202,85,83
5,NEC2,202,85,84
6,NEC2,202,85,85
7,NEC2,202,85,86
8,NEC2,202,85,87
9,NEC2,202,85,88
0,NEC2,202,85,89
SEEK V,NEC2,202,85,90
SEEK ^,NEC2,202,85,91
REVIEW,NEC2,202,85,92
SEARCH,NEC2,202,85,92
AM,NEC2,202,85,93
FM,NEC2,202,85,94
