functionname,protocol,device,subdevice,function
0,RC5,0,-1,0
1,RC5,0,-1,1
2,RC5,0,-1,2
3,RC5,0,-1,3
4,RC5,0,-1,4
5,RC5,0,-1,5
6,RC5,0,-1,6
7,RC5,0,-1,7
8,RC5,0,-1,8
9,RC5,0,-1,9
POWER,RC5,0,-1,12
MUTE,RC5,0,-1,13
INFO,RC5,0,-1,15
RIGHT,RC5,0,-1,16
LEFT,RC5,0,-1,17
UP,RC5,0,-1,32
DOWN,RC5,0,-1,33
REWIND,RC5,5,-1,37
FORWARD,RC5,5,-1,38
OK,RC5,0,-1,41
YELLOW,RC5,0,-1,50
BLUE,RC5,0,-1,52
PLAY,RC5,5,-1,53
GREEN,RC5,0,-1,54
STOP,RC5,5,-1,54
RED,RC5,0,-1,55
TV,RC5,0,-1,60
F1,RC5,0,-1,92
F2,RC5,0,-1,93
F3,RC5,0,-1,94
F4,RC5,0,-1,95
