functionname,protocol,device,subdevice,function
0,RC5,0,-1,0
1,RC5,0,-1,1
2,RC5,0,-1,2
3,RC5,0,-1,3
4,RC5,0,-1,4
5,RC5,0,-1,5
6,RC5,0,-1,6
7,RC5,0,-1,7
8,RC5,0,-1,8
9,RC5,0,-1,9
1-/--,RC5,0,-1,10
OFF,RC5,0,-1,12
NO_VOL,RC5,0,-1,13
OK,RC5,0,-1,14
VOLUME+,RC5,0,-1,16
VOLUME-,RC5,0,-1,17
NUMERIC_STAR,RC5,0,-1,18
CHANNEL+,RC5,0,-1,32
CHANNEL-,RC5,0,-1,33
2-,RC5,0,-1,34
TV3,RC5,0,-1,41
MENU,RC5,0,-1,48
YELLOW,RC5,0,-1,50
BLUE,RC5,0,-1,52
GREEN,RC5,0,-1,54
RED,RC5,0,-1,55
AV,RC5,0,-1,56
TV1,RC5,0,-1,60
TV2,RC5,0,-1,63
