functionname,protocol,device,subdevice,function
5,NEC1,0,-1,128
1,NEC1,0,-1,129
4,NEC1,0,-1,130
2,NEC1,0,-1,131
SCAN <<,NEC1,0,-1,136
0,NEC1,0,-1,140
7,NEC1,0,-1,141
8,NEC1,0,-1,143
CURSOR LEFT,NEC1,0,-1,144
SKIP <<,NEC1,0,-1,144
DISPLAY,NEC1,0,-1,145
PLAY,NEC1,0,-1,147
SELECT,NEC1,0,-1,147
6,NEC1,0,-1,192
3,NEC1,0,-1,193
ANGLE,NEC1,0,-1,194
AUDIO MODE,NEC1,0,-1,196
POWER,NEC1,0,-1,197
MENU,NEC1,0,-1,198
SCAN >>,NEC1,0,-1,200
STOP,NEC1,0,-1,201
CLEAR,NEC1,0,-1,204
9,NEC1,0,-1,205
CURSOR DOWN,NEC1,0,-1,208
CURSOR UP,NEC1,0,-1,209
CURSOR RIGHT,NEC1,0,-1,210
SKIP >>,NEC1,0,-1,210
SETUP,NEC1,0,-1,211
PAUSE,NEC1,0,-1,215
