functionname,protocol,device,subdevice,function
0,RC5,19,-1,0
1,RC5,19,-1,1
2,RC5,19,-1,2
3,RC5,19,-1,3
4,RC5,19,-1,4
5,RC5,19,-1,5
6,RC5,19,-1,6
7,RC5,19,-1,7
8,RC5,19,-1,8
9,RC5,19,-1,9
*,RC5,19,-1,10
DISPLAY,RC5,19,-1,11
OFF,RC5,19,-1,12
STANDBY,RC5,19,-1,12
MUTE,RC5,19,-1,13
PRESET,RC5,19,-1,14
VOLUME UP,RC5,19,-1,16
VOLUME +,RC5,19,-1,16
VOLUME DOWN,RC5,19,-1,17
VOLUME -,RC5,19,-1,17
REPEAT,RC5,19,-1,29
NEXT,RC5,19,-1,32
PREVIOUS,RC5,19,-1,33
PREV,RC5,19,-1,33
RADIO,RC5,19,-1,36
TAPE 1,RC5,19,-1,37
TAPE 2,RC5,19,-1,38
TAPE 3,RC5,19,-1,39
LINE,RC5,19,-1,40
STORE,RC5,19,-1,41
VIDEO,RC5,19,-1,42
LP,RC5,19,-1,43
CD,RC5,19,-1,44
STORE,RC5,19,-1,46
PAUSE,RC5,19,-1,48
CLEAR,RC5,19,-1,49
CANCEL,RC5,19,-1,49
SCAN <<,RC5,19,-1,50
<<,RC5,19,-1,50
TRACK,RC5,19,-1,51
SCAN >>,RC5,19,-1,52
>>,RC5,19,-1,52
PLAY,RC5,19,-1,53
STOP,RC5,19,-1,54
PHASE,RC5,19,-1,60
MENU UP,RC5,19,-1,80
MENU DOWN,RC5,19,-1,81
MENU,RC5,19,-1,82
RETURN,RC5,19,-1,83
MENU LEFT,RC5,19,-1,85
MENU RIGHT,RC5,19,-1,86
ENTER,RC5,19,-1,87
DSP,RC5,19,-1,93
TOP MENU,RC5,19,-1,121
DISPLAY,RC5,19,-1,122
