functionname,protocol,device,subdevice,function
0,RC5,19,-1,0
1,RC5,19,-1,1
2,RC5,19,-1,2
3,RC5,19,-1,3
4,RC5,19,-1,4
5,RC5,19,-1,5
6,RC5,19,-1,6
7,RC5,19,-1,7
8,RC5,19,-1,8
9,RC5,19,-1,9
OFF,RC5,19,-1,12
MUTE,RC5,19,-1,13
VOLUME +,RC5,19,-1,16
VOLUME -,RC5,19,-1,17
NEXT,RC5,19,-1,32
BACK,RC5,19,-1,33
STORE,RC5,19,-1,46
CLEAR,RC5,19,-1,49
<<SRCH,RC5,19,-1,50
>>SRCH,RC5,19,-1,52
CURSOR DN,RC5,19,-1,54
RECORD,RC5,19,-1,55
LD,RC5,19,-1,76
CD,RC5,19,-1,107
RADIO,RC5,19,-1,108
TAPE 1,RC5,19,-1,109
TAPE 2,RC5,19,-1,110
CABLE,RC5,19,-1,111
VCR 1,RC5,19,-1,112
VCR 2,RC5,19,-1,113
LP,RC5,19,-1,114
TV,RC5,19,-1,115
TEXT,RC5,19,-1,116
CDR,RC5,19,-1,117
DISPLAY,RC5,19,-1,122
