functionname,protocol,device,subdevice,function
0,RC5,19,-1,0
1,RC5,19,-1,1
2,RC5,19,-1,2
3,RC5,19,-1,3
4,RC5,19,-1,4
5,RC5,19,-1,5
6,RC5,19,-1,6
7,RC5,19,-1,7
8,RC5,19,-1,8
9,RC5,19,-1,9
OFF,RC5,19,-1,12
MUTE,RC5,19,-1,13
VOLUME UP,RC5,19,-1,16
VOLUME DOWN,RC5,19,-1,17
REPEAT,RC5,19,-1,29
SKIP >>,,RC5,19,-1,32
SKIP ,<<,RC5,19,-1,33
,RC5,19,-1,33
PAUSE,RC5,19,-1,48
CLEAR,RC5,19,-1,49
SCAN >>,RC5,19,-1,52
PLAY,RC5,19,-1,53
STOP,RC5,19,-1,54
RECORD,RC5,19,-1,55
INPUT LD,RC5,19,-1,76
CURSOR UP,RC5,19,-1,80
,RC5,19,-1,80
CURSOR DOWN,RC5,19,-1,81
CURSOR LEFT,RC5,19,-1,85
CURSOR RIGHT,RC5,19,-1,86
INPUT CD,RC5,19,-1,107
INPUT TAPE 1,RC5,19,-1,109
INPUT TAPE 2,RC5,19,-1,110
INPUT CABLE,RC5,19,-1,111
INPUT VCR 1,RC5,19,-1,112
INPUT VCR 2,RC5,19,-1,113
INPUT LP,RC5,19,-1,114
INPUT TV,RC5,19,-1,115
,RC5,19,-1,115
INPUT DVD,RC5,19,-1,116
INPUT CDR,RC5,19,-1,117
.,RC5,19,-1,121
DISPLAY,RC5,19,-1,122
