functionname,protocol,device,subdevice,function
TV1,Mitsubishi,71,-1,0
TV9,Mitsubishi,71,-1,1
TV_POWER,Mitsubishi,71,-1,2
TV_CANCEL,Mitsubishi,71,-1,7
TV2,Mitsubishi,71,-1,8
TV0,Mitsubishi,71,-1,9
TV_CHANNEL+,Mitsubishi,71,-1,10
TV3,Mitsubishi,71,-1,16
TV_CHANNEL-,Mitsubishi,71,-1,18
TV4,Mitsubishi,71,-1,24
TV_DISPLAY,Mitsubishi,71,-1,27
TV5,Mitsubishi,71,-1,32
VOLUME+,Mitsubishi,71,-1,34
TV6,Mitsubishi,71,-1,40
VOLUME-,Mitsubishi,71,-1,42
TV7,Mitsubishi,71,-1,48
MUTE,Mitsubishi,71,-1,50
TV_ENTER,Mitsubishi,71,-1,53
TV8,Mitsubishi,71,-1,56
TV_INPUT,Mitsubishi,71,-1,58
TV_AUDIO_VIDEO,Mitsubishi,71,-1,64
TV_JOG/ADJ+(IN_SRCH),Mitsubishi,71,-1,65
TV_JOG/ADJ-(IN_SRCH),Mitsubishi,71,-1,73
TV_MENU,Mitsubishi,71,-1,82
