functionname,protocol,device,subdevice,function
TV1_(SUN),Mitsubishi,71,-1,0
1_(SUN),Mitsubishi,71,-1,0
TV1,Mitsubishi,71,-1,0
1,Mitsubishi,71,-1,0
TV9,Mitsubishi,71,-1,1
9,Mitsubishi,71,-1,1
TV_POWER,Mitsubishi,71,-1,2
POWER,Mitsubishi,71,-1,2
COLOR+,Mitsubishi,71,-1,4
EXT1,Mitsubishi,71,-1,5
TV/VCR,Mitsubishi,71,-1,5
TV_CANCEL,Mitsubishi,71,-1,7
CANCEL,Mitsubishi,71,-1,7
TV,Mitsubishi,71,-1,7
TV2_(MON),Mitsubishi,71,-1,8
2_(MON),Mitsubishi,71,-1,8
TV2,Mitsubishi,71,-1,8
2,Mitsubishi,71,-1,8
TV0,Mitsubishi,71,-1,9
0,Mitsubishi,71,-1,9
TV_CHANNEL+,Mitsubishi,71,-1,10
CHANNEL+,Mitsubishi,71,-1,10
TV_CHANNEL+,Mitsubishi,71,-1,10
SCAN_^_(CH_^),Mitsubishi,71,-1,10
CHANNEL+,Mitsubishi,71,-1,10
SCAN_^(CH_^),Mitsubishi,71,-1,10
TV_CH^,Mitsubishi,71,-1,10
SCAN^(CH^),Mitsubishi,71,-1,10
RESET,Mitsubishi,71,-1,11
COLOR-,Mitsubishi,71,-1,12
EXT2,Mitsubishi,71,-1,13
TV_Q.V.,Mitsubishi,71,-1,15
Q.V._(QUICK_VIEW),Mitsubishi,71,-1,15
TV_QV,Mitsubishi,71,-1,15
QV,Mitsubishi,71,-1,15
Q.V.,Mitsubishi,71,-1,15
TV3_(TUE),Mitsubishi,71,-1,16
3_(TUE),Mitsubishi,71,-1,16
3,Mitsubishi,71,-1,16
TV3,Mitsubishi,71,-1,16
TV_CHANNEL-,Mitsubishi,71,-1,18
CHANNEL-,Mitsubishi,71,-1,18
TV_CHANNEL-,Mitsubishi,71,-1,18
SCAN_V_(CH_V),Mitsubishi,71,-1,18
CHANNEL-,Mitsubishi,71,-1,18
SCAN_V(CH_V),Mitsubishi,71,-1,18
TV_CHV,Mitsubishi,71,-1,18
SCANV(CHV),Mitsubishi,71,-1,18
EXPAND,Mitsubishi,71,-1,19
TV_OFF-T_OTR,Mitsubishi,71,-1,23
OFF-T_OTR,Mitsubishi,71,-1,23
TV_OFF-T/OTR,Mitsubishi,71,-1,23
OFF-T/OTR,Mitsubishi,71,-1,23
OFF-T,Mitsubishi,71,-1,23
OFF-TV/QTR,Mitsubishi,71,-1,23
OFF_TIMER,Mitsubishi,71,-1,23
TV_SLEEP,Mitsubishi,71,-1,23
TV4_(WED),Mitsubishi,71,-1,24
4_(WED),Mitsubishi,71,-1,24
TV4,Mitsubishi,71,-1,24
4,Mitsubishi,71,-1,24
INPUT:V,Mitsubishi,71,-1,26
ANT_A/B,Mitsubishi,71,-1,26
INPUT:V,Mitsubishi,71,-1,26
TV_DISP,Mitsubishi,71,-1,27
DISP_(DISPLAY),Mitsubishi,71,-1,27
DISP,Mitsubishi,71,-1,27
DATA_ON_SCREEN,Mitsubishi,71,-1,27
DISPLAY,Mitsubishi,71,-1,27
TV_INFO,Mitsubishi,71,-1,27
TV5_(THU),Mitsubishi,71,-1,32
5_(THU),Mitsubishi,71,-1,32
TV5,Mitsubishi,71,-1,32
5,Mitsubishi,71,-1,32
VOLUME+,Mitsubishi,71,-1,34
VOLUME+,Mitsubishi,71,-1,34
CONTRAST+,Mitsubishi,71,-1,35
REPEAT,Mitsubishi,71,-1,39
TV6_(FRI),Mitsubishi,71,-1,40
6_(FRI),Mitsubishi,71,-1,40
TV6,Mitsubishi,71,-1,40
6,Mitsubishi,71,-1,40
VOLUME-,Mitsubishi,71,-1,42
VOLUME-,Mitsubishi,71,-1,42
CONTRAST-,Mitsubishi,71,-1,43
TV7_(SAT),Mitsubishi,71,-1,48
7_(SAT),Mitsubishi,71,-1,48
TV7,Mitsubishi,71,-1,48
7,Mitsubishi,71,-1,48
MUTE,Mitsubishi,71,-1,50
MUTING,Mitsubishi,71,-1,50
TINT+,Mitsubishi,71,-1,51
SLOW,Mitsubishi,71,-1,52
TV_ENTER,Mitsubishi,71,-1,53
ENTER,Mitsubishi,71,-1,53
INDEX-,Mitsubishi,71,-1,54
TV8_(M-F),Mitsubishi,71,-1,56
8_(M-F),Mitsubishi,71,-1,56
TV8,Mitsubishi,71,-1,56
8,Mitsubishi,71,-1,56
ANT_A/B,Mitsubishi,71,-1,57
TV_INPUT,Mitsubishi,71,-1,58
INPUT:,Mitsubishi,71,-1,58
TV_INPUT_^,Mitsubishi,71,-1,58
INPUT:^,Mitsubishi,71,-1,58
VIDEO/T-,Mitsubishi,71,-1,58
INPUT:^,Mitsubishi,71,-1,58
TINT-,Mitsubishi,71,-1,59
NEXT,Mitsubishi,71,-1,61
SKIP,Mitsubishi,71,-1,61
INDEX+,Mitsubishi,71,-1,62
TV_VIDEO,Mitsubishi,71,-1,64
VIDEO,Mitsubishi,71,-1,64
TV_VIDEO_^,Mitsubishi,71,-1,64
VIDEO+,Mitsubishi,71,-1,64
FUNCTION_VIDEO,Mitsubishi,71,-1,64
VIDEO+,Mitsubishi,71,-1,64
TV_ADJ,Mitsubishi,71,-1,65
ADJ,Mitsubishi,71,-1,65
TV_ADJUST_^,Mitsubishi,71,-1,65
ADJ_^,Mitsubishi,71,-1,65
ADJUST_^,Mitsubishi,71,-1,65
ADJ(ADJUST)_^,Mitsubishi,71,-1,65
ADJUST^,Mitsubishi,71,-1,65
TV_VIDEO_V,Mitsubishi,71,-1,72
