functionname,protocol,device,subdevice,function
VCRA 1,Mitsubishi,87,-1,0
VCR 1 (SUN),Mitsubishi,87,-1,0
VCR 1,Mitsubishi,87,-1,0
VCRA 9,Mitsubishi,87,-1,1
VCR 9,Mitsubishi,87,-1,1
VCRA POWER,Mitsubishi,87,-1,2
VCR POWER,Mitsubishi,87,-1,2
VCRA PLAY >,Mitsubishi,87,-1,4
VCR PLAY >,Mitsubishi,87,-1,4
VCR/TV,Mitsubishi,87,-1,5
VIDEO/TV,Mitsubishi,87,-1,5
VCR VCR/TV,Mitsubishi,87,-1,5
VCRA TV/VCR,Mitsubishi,87,-1,5
VCRA VCR/TV,Mitsubishi,87,-1,5
VCRA 2,Mitsubishi,87,-1,8
VCR 2 (MON),Mitsubishi,87,-1,8
VCR 2,Mitsubishi,87,-1,8
VCRA 0,Mitsubishi,87,-1,9
VCR 0,Mitsubishi,87,-1,9
VCRA CHANNEL ^,Mitsubishi,87,-1,10
VCR CH ^,Mitsubishi,87,-1,10
VCR SCAN ^(CH ^),Mitsubishi,87,-1,10
VCR SCAN ^ (CH ^),Mitsubishi,87,-1,10
VCRA SCAN ^ (CH ^),Mitsubishi,87,-1,10
VCRA CANCEL,Mitsubishi,87,-1,11
VCR CANCEL,Mitsubishi,87,-1,11
VCRA REC,Mitsubishi,87,-1,12
VCR REC,Mitsubishi,87,-1,12
VCRA/TV/CBL INDEX +,Mitsubishi,87,-1,14
VCR JOG/INDEX S.+,Mitsubishi,87,-1,14
INDEX +,Mitsubishi,87,-1,14
VCRA INDEX +,Mitsubishi,87,-1,14
VCRA 3,Mitsubishi,87,-1,16
VCR 3 (TUE),Mitsubishi,87,-1,16
VCR 3,Mitsubishi,87,-1,16
VCRA CHANNEL V,Mitsubishi,87,-1,18
VCR CH V,Mitsubishi,87,-1,18
VCR SCAN V(CH V),Mitsubishi,87,-1,18
VCR SCAN V (CH V),Mitsubishi,87,-1,18
VCRA SCAN V (CH V),Mitsubishi,87,-1,18
VCRA STOP [],Mitsubishi,87,-1,20
VCR STOP [],Mitsubishi,87,-1,20
VCRA/TV/CBL INDEX -,Mitsubishi,87,-1,22
VCR JOG/INDEX S.-,Mitsubishi,87,-1,22
INDEX -,Mitsubishi,87,-1,22
VCRA INDEX -,Mitsubishi,87,-1,22
VCRA 4,Mitsubishi,87,-1,24
VCR 4 (WED),Mitsubishi,87,-1,24
VCR 4,Mitsubishi,87,-1,24
VCRA INPUT V,Mitsubishi,87,-1,26
VCRA PAUSE ,Mitsubishi,87,-1,28
VCR PAUSE ,Mitsubishi,87,-1,28
VCRA 5,Mitsubishi,87,-1,32
VCR 5 (THU),Mitsubishi,87,-1,32
VCR 5,Mitsubishi,87,-1,32
VCRA FF >>,Mitsubishi,87,-1,36
VCR FF/SRCH >>,Mitsubishi,87,-1,36
VCR FF >>,Mitsubishi,87,-1,36
VCRA QV,Mitsubishi,87,-1,37
VCR Q.V.,Mitsubishi,87,-1,37
VCRA DISPLAY,Mitsubishi,87,-1,39
VCR DISP,Mitsubishi,87,-1,39
VCR DISPLAY,Mitsubishi,87,-1,39
VCRA 6,Mitsubishi,87,-1,40
VCR 6 (FRI),Mitsubishi,87,-1,40
VCR 6,Mitsubishi,87,-1,40
VCRA REW <<,Mitsubishi,87,-1,44
VCR REW/SRCH <<,Mitsubishi,87,-1,44
VCR REW <<,Mitsubishi,87,-1,44
VCRA OFF-T,Mitsubishi,87,-1,47
VCR OFF-T OTR,Mitsubishi,87,-1,47
VCRA OFF-T OTR,Mitsubishi,87,-1,47
VCRA 7,Mitsubishi,87,-1,48
VCR 7 (SAT),Mitsubishi,87,-1,48
VCR 7,Mitsubishi,87,-1,48
VCRA/TV/CBL QUIKPROG,Mitsubishi,87,-1,51
VCR Q.PROG/VCR PLUS+,Mitsubishi,87,-1,51
VCRA QUICK PROGRAM,Mitsubishi,87,-1,51
VCRA ENTER,Mitsubishi,87,-1,53
VCR ENTER,Mitsubishi,87,-1,53
VCRA 8,Mitsubishi,87,-1,56
VCR 8 (M-F),Mitsubishi,87,-1,56
VCR 8,Mitsubishi,87,-1,56
VCRA INPUT ^,Mitsubishi,87,-1,58
VCR INPUT,Mitsubishi,87,-1,58
INPUT,Mitsubishi,87,-1,58
VCRA INPUT,Mitsubishi,87,-1,58
VCRA VIDEO,Mitsubishi,87,-1,64
VCR VIDEO,Mitsubishi,87,-1,64
VCR FUNCTION VIDEO,Mitsubishi,87,-1,64
VCRA FUNC VIDEO,Mitsubishi,87,-1,64
VCRA ^,Mitsubishi,87,-1,65
VCR ADJ >,Mitsubishi,87,-1,65
VCR ADJUST ^,Mitsubishi,87,-1,65
,Mitsubishi,87,-1,67
VCRA S.(QUICK VIEW),Mitsubishi,87,-1,69
VCRA V,Mitsubishi,87,-1,73
VCR ADJ <,Mitsubishi,87,-1,73
VCR ADJUST V,Mitsubishi,87,-1,73
VCR SCAN REV,Mitsubishi,87,-1,75
VCR SCAN REV 1/10,Mitsubishi,87,-1,75
VCR SCAN REV 1/30,Mitsubishi,87,-1,75
VCR SCAN REV 1/5,Mitsubishi,87,-1,75
VCR SCAN FWD,Mitsubishi,87,-1,76
