functionname,protocol,device,subdevice,function
KEY_0,G.I. Cable{1},0,-1,0
KEY_1,G.I. Cable{1},0,-1,1
KEY_2,G.I. Cable{1},0,-1,2
KEY_3,G.I. Cable{1},0,-1,3
KEY_4,G.I. Cable{1},0,-1,4
KEY_5,G.I. Cable{1},0,-1,5
KEY_6,G.I. Cable{1},0,-1,6
KEY_7,G.I. Cable{1},0,-1,7
KEY_8,G.I. Cable{1},0,-1,8
KEY_9,G.I. Cable{1},0,-1,9
KEY_POWER,G.I. Cable{1},0,-1,10
KEY_CHANNELUP,G.I. Cable{1},0,-1,11
KEY_CHANNELDOWN,G.I. Cable{1},0,-1,12
KEY_VOLUMEUP,G.I. Cable{1},0,-1,13
KEY_VOLUMEDOWN,G.I. Cable{1},0,-1,14
KEY_MUTE,G.I. Cable{1},0,-1,15
KEY_OK,G.I. Cable{1},0,-1,17
KEY_BACK,G.I. Cable{1},0,-1,19
KEY_LANGUAGE,G.I. Cable{1},0,-1,23
KEY_POWER,G.I. Cable{1},0,-1,25
KEY_HELP,G.I. Cable{1},0,-1,50
KEY_INFO,G.I. Cable{1},0,-1,51
KEY_UP,G.I. Cable{1},0,-1,52
KEY_DOWN,G.I. Cable{1},0,-1,53
KEY_LEFT,G.I. Cable{1},0,-1,54
KEY_RIGHT,G.I. Cable{1},0,-1,55
KEY_RED,G.I. Cable{1},0,-1,110
KEY_GREEN,G.I. Cable{1},0,-1,111
yelow,G.I. Cable{1},0,-1,112
KEY_BLUE,G.I. Cable{1},0,-1,113
grey,G.I. Cable{1},0,-1,114
ojo,G.I. Cable{1},0,-1,216
KEY_EXIT,G.I. Cable{1},0,-1,251
