functionname,protocol,device,subdevice,function
CD_PLAY,NEC1,135,124,1
CD_STOP,NEC1,135,124,2
CD_SKIP,<<,NEC1,135,124,5
CD_SKIP,,NEC1,135,124,6
CD_DISK,NEC1,135,124,23
SLEEP,NEC1,135,124,32
TUNER_BANK,NEC1,135,124,36
CD_PAUSE,,,NEC1,135,124,74
DECKA_STOP,NEC1,135,124,82
DECKA_PLAY,NEC1,135,124,83
DECKA_REV_PLAY_<,NEC1,135,124,84
DECKA_REC/PAUSE,NEC1,135,124,85
DECKA_FF,NEC1,135,124,86
DECKA_REW_<<,NEC1,135,124,87
POWER,NEC1,135,124,128
CD,NEC1,135,124,133
MASTER_VOLUME+,NEC1,135,124,136
PHONO,NEC1,135,124,137
MASTER_VOLUME-,NEC1,135,124,140
TAPE1,NEC1,135,124,141
TAPE2,NEC1,135,124,145
MUTE,NEC1,135,124,148
DECKB_REC/PAUSE,NEC1,135,124,154
DECKB_PLAY,NEC1,135,124,156
DECKB_FF,NEC1,135,124,157
DECKB_REW_<<,NEC1,135,124,158
DECKB_STOP,NEC1,135,124,159
VIDEO2,NEC1,135,124,192
VIDEO1,NEC1,135,124,194
SURROUND_MODE,NEC1,135,124,204
TEST,NEC1,135,124,205
SRND_CENTER_VOL_^,NEC1,135,124,208
TUNERPRESET-,NEC1,135,124,209
TUNERPRESET+,NEC1,135,124,210
SRND_CENTER_VOL_V,NEC1,135,124,213
SRND_REAR_VOL_^,NEC1,135,124,214
SRND_REAR_VOL_V,NEC1,135,124,215
DELAY,NEC1,135,124,218
TUNER,NEC1,135,124,221
DECKB_REV_PLAY_<,NEC1,135,124,222
