functionname,protocol,device,subdevice,function
VOLUME ^,NEC1,26,228,2
VOLUME V,NEC1,26,228,3
FULL MUTE,NEC1,26,228,9
MEMO,NEC1,26,228,11
PRESET 1,NEC1,26,228,16
PRESET 2,NEC1,26,228,17
PRESET 3,NEC1,26,228,18
RESET,NEC1,26,228,27
LEFT (BALANCE),NEC1,26,228,64
RIGHT (BALANCE),NEC1,26,228,65
FRONT (BALANCE),NEC1,26,228,66
REAR (BALANCE),NEC1,26,228,67
V FRONT,NEC1,26,228,69
REAR,NEC1,26,228,71
S.STEREO (SURROUND),NEC1,26,228,73
DOLBY (SURROUND),NEC1,26,228,74
HALL (SURROUND),NEC1,26,228,76
STEREO (SURROUND),NEC1,26,228,77
VIDEO1,NEC1,26,228,80
VIDEO2,NEC1,26,228,81
A/V,NEC1,26,228,82
PHONO,NEC1,26,228,83
CD,NEC1,26,228,84
TAPE,NEC1,26,228,95
