functionname,protocol,device,subdevice,function
MASTER VOLUME ^,NEC1,26,228,130
MASTER VOLUME V,NEC1,26,228,131
FULL MUTE,NEC1,26,228,137
NORMAL,NEC1,26,228,141
WIDE,NEC1,26,228,142
PHANTOM,NEC1,26,228,143
FRONT LEFT V,NEC1,26,228,149
FRONT RIGHT V,NEC1,26,228,150
REAR LEFT V,NEC1,26,228,151
REAR RIGHT V,NEC1,26,228,152
CENTER ^,NEC1,26,228,153
CENTER V,NEC1,26,228,154
RESET,NEC1,26,228,155
FRONT LEFT ^,NEC1,26,228,156
FRONT RIGHT ^,NEC1,26,228,157
REAR LEFT ^,NEC1,26,228,158
REAR RIGHT ^,NEC1,26,228,159
FRONT L/R ^,NEC1,26,228,196
FRONT L/R V,NEC1,26,228,197
REAR L/R ^,NEC1,26,228,198
REAR L/R V,NEC1,26,228,199
BY-PASS,NEC1,26,228,205
CENTER,NEC1,26,228,213
TEST TONE,NEC1,26,228,214
