functionname,protocol,device,subdevice,function
VIDEO,NEC,24,233,3
COMPUTER_1,NEC,24,233,4
COMPUTER_2,NEC,24,233,5
AUTO_ADJ,NEC,24,233,6
POWER,NEC,24,233,8
PICTURE,NEC,24,233,13
ASPECT,NEC,24,233,16
POWER,NEC,24,233,20
ENTER,NEC,24,233,23
EXIT,NEC,24,233,37
PAGE+,NEC,24,233,42
PAGE-,NEC,24,233,43
L_CLICK,NEC,24,233,44
R_CLICK,NEC,24,233,45
MENU,NEC,24,233,70
PIC-MUTE,NEC,24,233,71
VOLUME+,NEC,24,233,72
VOLUME-,NEC,24,233,73
FREEZE,NEC,24,233,76
HELP,NEC,24,233,78
MAGNIFY_PLUS,NEC,24,233,137
MAGNIFY_MINUS,NEC,24,233,138
UP,NEC,24,233,184
RIGHT,NEC,24,233,186
DOWN,NEC,24,233,188
LEFT,NEC,24,233,190
S-VIDEO,NEC,24,233,198
