functionname,protocol,device,subdevice,function
1,Sharp{1},3,-1,1
2,Sharp{1},3,-1,2
3,Sharp{1},3,-1,3
4,Sharp{1},3,-1,4
5,Sharp{1},3,-1,5
6,Sharp{1},3,-1,6
7,Sharp{1},3,-1,7
8,Sharp{1},3,-1,8
9,Sharp{1},3,-1,9
0,Sharp{1},3,-1,10
TIME,Sharp{1},3,-1,14
CHANNEL+,Sharp{1},3,-1,17
CHANNEL-,Sharp{1},3,-1,18
POWER,Sharp{1},3,-1,22
TIMER,Sharp{1},3,-1,25
CLEAR,Sharp{1},3,-1,32
RIGHT,Sharp{1},3,-1,33
UP,Sharp{1},3,-1,34
LEFT,Sharp{1},3,-1,35
GREEN,Sharp{1},3,-1,37
DOWN,Sharp{1},3,-1,39
RECORD,Sharp{1},3,-1,40
RED,Sharp{1},3,-1,41
BLUE,Sharp{1},3,-1,47
YELLOW,Sharp{1},3,-1,48
PIP,Sharp{1},3,-1,140
PROG,Sharp{1},3,-1,152
OK,Sharp{1},3,-1,154
