functionname,protocol,device,subdevice,function
BACK,NEC,128,110,0
RIGHT,NEC,128,110,1
UP,NEC,128,110,2
POWER,NEC,128,110,3
EXIT,NEC,128,110,4
DOWN,NEC,128,110,5
LEFT,NEC,128,110,6
ENTER,NEC,128,110,7
YELLOW,NEC,128,110,8
BLUE,NEC,128,110,9
GREEN,NEC,128,110,10
RED,NEC,128,110,11
MENU,NEC,128,110,12
POWER,NEC,128,110,13
POWER,NEC,128,110,14
EPG,NEC,128,110,15
3,NEC,128,110,16
2,NEC,128,110,17
1,NEC,128,110,18
6,NEC,128,110,20
5,NEC,128,110,21
4,NEC,128,110,22
9,NEC,128,110,24
8,NEC,128,110,25
7,NEC,128,110,26
CLEAR,NEC,128,110,28
0,NEC,128,110,29
DISPLAY,NEC,128,110,30
MODE,NEC,128,110,80
MUTE,NEC,128,110,81
AB,NEC,128,110,82
AUDIO,NEC,128,110,83
NEXT,NEC,128,110,84
PREVIOUS,NEC,128,110,85
TITLE,NEC,128,110,86
MENU,NEC,128,110,87
ZOOM,NEC,128,110,88
ANGLE,NEC,128,110,89
SUBTITLE,NEC,128,110,90
SOUNDMODE,NEC,128,110,91
EJECTCD,NEC,128,110,92
TVSYSTEM,NEC,128,110,93
GOTO,NEC,128,110,94
SLOW,NEC,128,110,95
