functionname,protocol,device,subdevice,function
KEY_BACK,NEC,128,110,0
KEY_RIGHT,NEC,128,110,1
KEY_UP,NEC,128,110,2
KEY_POWER,NEC,128,110,3
KEY_EXIT,NEC,128,110,4
KEY_DOWN,NEC,128,110,5
KEY_LEFT,NEC,128,110,6
KEY_ENTER,NEC,128,110,7
KEY_YELLOW,NEC,128,110,8
KEY_BLUE,NEC,128,110,9
KEY_GREEN,NEC,128,110,10
KEY_RED,NEC,128,110,11
KEY_MENU,NEC,128,110,12
KEY_POWER,NEC,128,110,13
KEY_POWER,NEC,128,110,14
KEY_EPG,NEC,128,110,15
KEY_3,NEC,128,110,16
KEY_2,NEC,128,110,17
KEY_1,NEC,128,110,18
KEY_6,NEC,128,110,20
KEY_5,NEC,128,110,21
KEY_4,NEC,128,110,22
KEY_9,NEC,128,110,24
KEY_8,NEC,128,110,25
KEY_7,NEC,128,110,26
KEY_CLEAR,NEC,128,110,28
KEY_0,NEC,128,110,29
Display,NEC,128,110,30
KEY_MODE,NEC,128,110,80
KEY_MUTE,NEC,128,110,81
AB,NEC,128,110,82
KEY_AUDIO,NEC,128,110,83
KEY_NEXT,NEC,128,110,84
KEY_PREVIOUS,NEC,128,110,85
KEY_TITLE,NEC,128,110,86
KEY_MENU,NEC,128,110,87
KEY_ZOOM,NEC,128,110,88
KEY_ANGLE,NEC,128,110,89
KEY_SUBTITLE,NEC,128,110,90
SoundMode,NEC,128,110,91
KEY_EJECTCD,NEC,128,110,92
TVSystem,NEC,128,110,93
Goto,NEC,128,110,94
KEY_SLOW,NEC,128,110,95
