functionname,protocol,device,subdevice,function
POWER,NEC,4,185,0
0,NEC,4,185,1
1,NEC,4,185,2
2,NEC,4,185,3
3,NEC,4,185,4
4,NEC,4,185,5
5,NEC,4,185,6
6,NEC,4,185,7
7,NEC,4,185,8
8,NEC,4,185,9
9,NEC,4,185,10
KPMINUS,NEC,4,185,15
UP,NEC,4,185,16
DOWN,NEC,4,185,17
LEFT,NEC,4,185,18
RIGHT,NEC,4,185,19
CHANNEL+,NEC,4,185,20
CHANNEL-,NEC,4,185,21
VOLUME+,NEC,4,185,22
VOLUME-,NEC,4,185,23
ENTER,NEC,4,185,24
AUDIO,NEC,4,185,25
MUTE,NEC,4,185,26
MENU,NEC,4,185,27
ENTER,NEC,4,185,28
CYCLEWINDOWS,NEC,4,185,29
FAVORITES,NEC,4,185,31
DISPLAY,NEC,4,185,32
LIGHTS_TOGGLE,NEC,4,185,35
AUTO,NEC,4,185,36
ASPECT,NEC,4,185,37
SLEEP,NEC,4,185,40
FREEZE,NEC,4,185,41
CC,NEC,4,185,42
TIME,NEC,4,185,43
