functionname,protocol,device,subdevice,function
0,RC5,5,-1,0
1,RC5,5,-1,1
2,RC5,5,-1,2
3,RC5,5,-1,3
4,RC5,5,-1,4
5,RC5,5,-1,5
6,RC5,5,-1,6
7,RC5,5,-1,7
8,RC5,5,-1,8
9,RC5,5,-1,9
0,RC5,5,-1,10
POWER,RC5,5,-1,12
MUTE,RC5,5,-1,13
AUTO,RC5,5,-1,14
VOLUME+,RC5,5,-1,16
VOLUME-,RC5,5,-1,17
MENU,RC5,5,-1,29
UP,RC5,5,-1,32
CHANNEL+,RC5,5,-1,32
CHANNEL-,RC5,5,-1,33
DOWN,RC5,5,-1,33
PAUSE,RC5,5,-1,41
REWIND,RC5,5,-1,50
FASTFORWARD,RC5,5,-1,52
PLAY,RC5,5,-1,53
GREEN,RC5,5,-1,54
YELOWW,RC5,5,-1,55
RED,RC5,5,-1,58
AV,RC5,5,-1,62
LEFT,RC5,5,-1,85
RIGHT,RC5,5,-1,86
