functionname,protocol,device,subdevice,function
POWER,NEC1,210,43,4
OPEN/CLOSE,NEC1,210,43,5
DISPLAY,NEC1,210,43,6
ANGLE,NEC1,210,43,7
ENTER,NEC1,210,43,8
RETURN,NEC1,210,43,9
RANDOM,NEC1,210,43,10
SLOW_MOTION,NEC1,210,43,11
SCAN_NEXT,NEC1,210,43,12
SCAN_PREVIOUS,NEC1,210,43,13
1,NEC1,210,43,14
2,NEC1,210,43,15
3,NEC1,210,43,16
4,NEC1,210,43,17
5,NEC1,210,43,18
6,NEC1,210,43,19
7,NEC1,210,43,20
8,NEC1,210,43,21
9,NEC1,210,43,22
0,NEC1,210,43,23
10+,NEC1,210,43,24
SEARCH,NEC1,210,43,25
PLAY,NEC1,210,43,27
STOP,NEC1,210,43,28
CHAPTER+,NEC1,210,43,29
CHAPTER-,NEC1,210,43,30
A-B,NEC1,210,43,69
DIMMER,NEC1,210,43,70
ZOOM,NEC1,210,43,72
MEMORY,NEC1,210,43,74
CLEAR,NEC1,210,43,75
SET-UP,NEC1,210,43,77
TITLE,NEC1,210,43,78
MENU,NEC1,210,43,79
UP,NEC1,210,43,80
DOWN,NEC1,210,43,81
LEFT,NEC1,210,43,82
RIGHT,NEC1,210,43,83
SUBTITLE_ON/OFF,NEC1,210,43,86
SLOW_MOTION<,NEC1,210,43,143
NEXT_SELECTION,NEC1,210,43,144
CD_MODE,NEC1,210,43,210
DISC+,NEC1,210,43,211
DISC-,NEC1,210,43,212
DISC1,NEC1,210,43,213
DISC2,NEC1,210,43,214
DISC3,NEC1,210,43,215
DISC4,NEC1,210,43,216
DISC5,NEC1,210,43,217
DISC6,NEC1,210,43,218
