functionname,protocol,device,subdevice,function
TUNER_PRESET,NEC2,210,109,0
TUNER_PRESET_<,NEC2,210,109,1
VOLUME+,NEC2,210,109,2
VOLUME+,NEC2,210,109,2
VOLUME-,NEC2,210,109,3
VOLUME-,NEC2,210,109,3
POWER,NEC1,210,109,4
MUTE,NEC1,210,109,5
AUDIO_MUTING,NEC1,210,109,5
MUTING,NEC1,210,109,5
AUX,NEC1,210,109,6
TAPE2,NEC1,210,109,7
TAPE-2,NEC1,210,109,7
,NEC1,210,109,8
TAPE1,NEC1,210,109,8
TAPE-1,NEC1,210,109,8
CD,NEC1,210,109,9
,NEC1,210,109,9
PHONO,NEC1,210,109,10
,NEC1,210,109,11
TUNER,NEC1,210,109,11
VIDEO-2,NEC1,210,109,13
,NEC1,210,109,14
VIDEO2,NEC1,210,109,14
VIDEO-1,NEC1,210,109,14
VIDEO-2,NEC1,210,109,14
,NEC1,210,109,15
VIDEO1,NEC1,210,109,15
VIDEO-1,NEC1,210,109,15
DECK-B_STOP,NEC1,210,109,19
DECK-B_PLAY,NEC1,210,109,21
DECK-B_R.PLAY_<,NEC1,210,109,22
DECK-B_REC/PAUSE,NEC1,210,109,24
DECK-B_FFWD,NEC1,210,109,25
DECK-B_REW_<<,NEC1,210,109,26
CD_PLAY,NEC1,210,109,27
CD_STOP,NEC1,210,109,28
CD_SKIP,,NEC1,210,109,29
CD_SKIP,<<,NEC1,210,109,30
CD_PAUSE,,,NEC1,210,109,31
REAR_LEVEL_UP,NEC2,210,109,66
REAR_LEVEL_DOWN,NEC2,210,109,67
SOURCE_DIRECT,NEC1,210,109,68
DIRECT,NEC1,210,109,68
TUNER_CLASS,NEC1,210,109,74
SUR_MODE,NEC1,210,109,76
SURROUND_MODE,NEC1,210,109,76
DECK-A_STOP,NEC1,210,109,77
DECK-A_PLAY,NEC1,210,109,78
DECK-A_R.PLAY_<,NEC1,210,109,79
DECK-A_REC/PAUSE,NEC1,210,109,80
DECK-A_FFWD,NEC1,210,109,81
DECK-A_REW_<<,NEC1,210,109,82
DELAY_TIME,NEC1,210,109,83
A_SPEAKERS,NEC1,210,109,89
MAIN_SPEAKERS,NEC1,210,109,89
MULTIROOM_ON/OFF,NEC1,210,109,90
B_SPEAKERS,NEC1,210,109,90
REMOTE_SPEAKERS,NEC1,210,109,90
DISC,NEC1,210,109,92
CD_DISC,NEC1,210,109,92
SLEEP,NEC1,210,109,93
PHONO_PLAY/REJECT,NEC1,210,109,95
CENTER_UP,NEC2,210,109,128
CENTER_DOWN,NEC2,210,109,129
CENTER_OFF/ON,NEC1,210,109,152
TEST,NEC1,210,109,154
MULTIROOM_VOL+,NEC2,210,109,194
SIMUL_SOURCE_UP,NEC2,210,109,194
MULTIROOM_VOL-,NEC2,210,109,195
SIMUL_SOURCE_DOWN,NEC2,210,109,195
MULTIROOM_CD,NEC,210,109,204
MULTIROOM_DVD,NEC,210,109,204
MULTIROOM_TAPE1,NEC,210,109,204
MULTIROOM_TUNER,NEC,210,109,204
MULTIROOM_VIDEO1,NEC,210,109,204
MULTIROOM_VIDEO2,NEC,210,109,204
SIMUL_SOURCE,NEC1,210,109,204
