functionname,protocol,device,subdevice,function
TAPE_FAST_FWD,NEC2,210,13,128
TAPE_FF,NEC2,210,13,128
TAPE_FFWD,NEC2,210,13,128
TAPE_FAST_REW_<<,NEC2,210,13,129
TAPE_REW_<<,NEC2,210,13,129
TAPE_REV_<<,NEC2,210,13,129
TAPE_VOL+,NEC2,210,13,130
TAPE_VOLUME_^,NEC2,210,13,130
TAPE_VOL-,NEC2,210,13,131
TAPE_VOLUME_V,NEC2,210,13,131
TAPE_REPEAT,NEC1,210,13,134
TAPE_A-B,NEC1,210,13,135
TAPE_CLEAR,NEC1,210,13,136
TAPE_MEMORY,NEC1,210,13,137
TAPE_DISPLAY,NEC1,210,13,138
TAPE_LAP/REM,NEC1,210,13,138
TAPE_OPEN/CLOSE,NEC1,210,13,139
TAPE_EJECT,NEC1,210,13,139
TAPE8,NEC1,210,13,140
TAPE9,NEC1,210,13,141
TAPE0,NEC1,210,13,142
TAPE_+10,NEC1,210,13,143
TAPE10+,NEC1,210,13,143
TAPE1,NEC1,210,13,144
TAPE2,NEC1,210,13,145
TAPE3,NEC1,210,13,146
TAPE4,NEC1,210,13,147
TAPE5,NEC1,210,13,152
TAPE6,NEC1,210,13,153
TAPE7,NEC1,210,13,154
TAPE_STOP,NEC1,210,13,156
TAPE_PLAY,NEC1,210,13,157
TAPE_REV_PLAY_<,NEC1,210,13,158
TAPE_PLAY_R._<,NEC1,210,13,158
TAPE_PLAY_REV._<,NEC1,210,13,158
TAPE_PLAY_REV_<,NEC1,210,13,158
TAPE_REC/PAUSE,NEC1,210,13,159
TAPE_REC/PAUSE_O/,,,NEC1,210,13,159
TAPE_EDIT,NEC2,210,13,194
TAPE_EDIT_<,NEC2,210,13,195
TAPE_INDEX,NEC1,210,13,196
TAPE_INTRO,NEC1,210,13,197
TAPE_SHUFFLE,NEC1,210,13,198
TAPE_RANDOM,NEC1,210,13,198
TAPE_AUTO_SPACE,NEC1,210,13,204
TAPE_TIME_EDIT,NEC1,210,13,205
TAPE_MEMORY_SHIFT,NEC1,210,13,206
TAPE10,NEC1,210,13,207
TAPE11,NEC1,210,13,208
TAPE12,NEC1,210,13,209
TAPE13,NEC1,210,13,210
TAPE14,NEC1,210,13,211
TAPE15,NEC1,210,13,212
TAPE16,NEC1,210,13,213
TAPE17,NEC1,210,13,214
TAPE18,NEC1,210,13,215
TAPE19,NEC1,210,13,216
TAPE_DISC,NEC1,210,13,218
TAPE_TRACK,NEC1,210,13,219
