functionname,protocol,device,subdevice,function
TUNER_PRESET_-,NEC2,210,109,0
TUNERPRESET+,NEC2,210,109,0
TUNERPRESET<-,NEC2,210,109,1
TUNERPRESET-,NEC2,210,109,1
MASTER_VOL_^,NEC2,210,109,2
VOLUME+,NEC2,210,109,2
MASTER_VOL_V,NEC2,210,109,3
VOLUME-,NEC2,210,109,3
POWER,NEC1,210,109,4
AUDIO_MUTING,NEC1,210,109,5
MUTING,NEC1,210,109,5
TAPE-2,NEC1,210,109,7
,NEC,210,109,7
TAPE2,NEC1,210,109,7
TAPE-1,NEC1,210,109,8
,NEC,210,109,8
TAPE1,NEC1,210,109,8
CD,NEC1,210,109,9
,NEC,210,109,9
PHONO,NEC1,210,109,10
,NEC,210,109,10
TUNER,NEC1,210,109,11
,NEC,210,109,11
VCR-2,NEC1,210,109,13
,NEC,210,109,13
VIDEO3,NEC1,210,109,13
VCR-1,NEC1,210,109,14
,NEC,210,109,14
VIDEO2,NEC1,210,109,14
VDP-1,NEC1,210,109,15
,NEC,210,109,15
VIDEO1,NEC1,210,109,15
DECK-B_STOP,NEC1,210,109,19
DECKB_STOP,NEC1,210,109,19
DECK-B_PLAY,NEC1,210,109,21
DECKB_PLAY,NEC1,210,109,21
DECK-B_PLAY_REV_<,NEC1,210,109,22
DECKB_REV_PLAY_<,NEC1,210,109,22
DECK-B_REC/PAUSE,NEC1,210,109,24
DECKB_REC/PAUSE,NEC1,210,109,24
DECK-B_FFWD,NEC1,210,109,25
DECKB,NEC1,210,109,25
DECK-B_REW_<<,NEC1,210,109,26
DECKB_<<,NEC1,210,109,26
CD_PLAY,NEC1,210,109,27
CD_STOP,NEC1,210,109,28
CD_SCANFWD_NEXT,,NEC1,210,109,29
CD+,,NEC1,210,109,29
CD_SCANREV,<<,NEC1,210,109,30
CD,<<,NEC1,210,109,30
CD_PAUSE,,,NEC1,210,109,31
REAR_UP,NEC2,210,109,66
REAR_LEVEL_UP,NEC2,210,109,66
REAR_DOWN,NEC2,210,109,67
REAR_LEVEL_DOWN,NEC2,210,109,67
TUNER_CLASS,NEC1,210,109,74
SURROUND_MODE,NEC1,210,109,76
DECK-A_STOP,NEC1,210,109,77
DECKA_STOP,NEC1,210,109,77
DECK-A_PLAY,NEC1,210,109,78
DECKA_PLAY,NEC1,210,109,78
DECK-A_PLAY_REV_<,NEC1,210,109,79
DECKA_REV_PLAY_<,NEC1,210,109,79
DECK-A_REC/PAUSE,NEC1,210,109,80
DECKA_REC/PAUSE,NEC1,210,109,80
DECK-A_FFWD,NEC1,210,109,81
DECKA,NEC1,210,109,81
DECK-A_REW_<<,NEC1,210,109,82
DECKA_<<,NEC1,210,109,82
SURROUND_DELAY_TIME,NEC1,210,109,83
DELAY_TIME,NEC1,210,109,83
MAIN_(SPEAKERS),NEC1,210,109,89
B_SUB_ROOM_REMOTE,NEC,210,109,90
CD_DISC,NEC1,210,109,92
SLEEP,NEC1,210,109,93
PHONO_PLAY/REJECT,NEC1,210,109,95
CENTER_UP,NEC2,210,109,128
CENTER_LEVEL_UP,NEC2,210,109,128
CENTER_DOWN,NEC2,210,109,129
CENTER_LEVEL_DOWN,NEC2,210,109,129
UP,NEC2,210,109,130
DOWN,NEC2,210,109,131
LEFT,NEC2,210,109,132
RIGHT,NEC2,210,109,133
DIMMER_(SPEAKERS),NEC1,210,109,149
ENTER/ESCAPE,NEC1,210,109,151
CENTER_ON/OFF,NEC1,210,109,152
CENTER_MODE,NEC1,210,109,153
SURROUND_TEST,NEC1,210,109,154
TEST,NEC1,210,109,154
VDP-2,NEC1,210,109,159
,NEC,210,109,159
VIDEO4,NEC1,210,109,159
B_SUB_ROOM_CD,NEC,210,109,204
B_SUB_ROOM_PHONO,NEC,210,109,204
B_SUB_ROOM_TAPE1,NEC,210,109,204
B_SUB_ROOM_TAPE2,NEC,210,109,204
B_SUB_ROOM_TUNER,NEC,210,109,204
B_SUB_ROOM_VIDEO1,NEC,210,109,204
B_SUB_ROOM_VIDEO2,NEC,210,109,204
B_SUB_ROOM_VIDEO3,NEC,210,109,204
B_SUB_ROOM_VIDEO4,NEC,210,109,204
