functionname,protocol,device,subdevice,function
0,RC5,10,-1,0
1,RC5,10,-1,1
2,RC5,10,-1,2
3,RC5,10,-1,3
4,RC5,10,-1,4
5,RC5,10,-1,5
6,RC5,10,-1,6
7,RC5,10,-1,7
8,RC5,10,-1,8
9,RC5,10,-1,9
PAGE+,RC5,10,-1,10
PAGE-,RC5,10,-1,11
POWER,RC5,10,-1,12
HELP,RC5,10,-1,15
KPPLUS,RC5,10,-1,16
KPMINUS,RC5,10,-1,17
CHANNEL+,RC5,10,-1,32
CHANNEL-,RC5,10,-1,33
BACK,RC5,10,-1,40
BROWSE,RC5,10,-1,47
MUTE,RC5,10,-1,70
INFO,RC5,10,-1,79
UP,RC5,10,-1,80
DOWN,RC5,10,-1,81
AUDIO,RC5,10,-1,82
TV,RC5,10,-1,83
LEFT,RC5,10,-1,85
RIGHT,RC5,10,-1,86
SELECT,RC5,10,-1,87
INTERACTIVE,RC5,10,-1,97
MENU,RC5,10,-1,106
RED,RC5,10,-1,107
GREEN,RC5,10,-1,108
YELLOW,RC5,10,-1,109
BLUE,RC5,10,-1,110
INTERNET,RC5,10,-1,111
EMAIL,RC5,10,-1,112
POWER,RC5,10,-1,113
