functionname,protocol,device,subdevice,function
KEY_POWER,Proton,34,-1,0
KEY_1,Proton,34,-1,1
KEY_2,Proton,34,-1,2
KEY_3,Proton,34,-1,3
KEY_4,Proton,34,-1,4
KEY_5,Proton,34,-1,5
KEY_6,Proton,34,-1,6
KEY_7,Proton,34,-1,7
KEY_8,Proton,34,-1,8
KEY_9,Proton,34,-1,9
KEY_0,Proton,34,-1,10
KEY_MUTE,Proton,34,-1,11
KEY_INFO,Proton,34,-1,12
KEY_GREEN,Proton,34,-1,13
KEY_VOLUMEUP,Proton,34,-1,14
KEY_VOLUMEDOWN,Proton,34,-1,15
KEY_AUDIO,Proton,34,-1,16
FREEZE,Proton,34,-1,17
KEY_ENTER,Proton,34,-1,18
SKIP_DOWN,Proton,34,-1,19
FORMAT,Proton,34,-1,20
KEY_INFO,Proton,34,-1,21
KEY_MENU,Proton,34,-1,22
KEY_RED,Proton,34,-1,24
TV/RADIO,Proton,34,-1,25
KEY_YELLOW,Proton,34,-1,26
KEY_BLUE,Proton,34,-1,27
KEY_UP,Proton,34,-1,28
KEY_DOWN,Proton,34,-1,29
KEY_LEFT,Proton,34,-1,30
KEY_RIGHT,Proton,34,-1,31
KEY_OK,Proton,34,-1,88
KEY_AUX,Proton,34,-1,156
INPUT,Proton,34,-1,157
KEY_QUIT,Proton,34,-1,158
SKIP_UP,Proton,34,-1,159
