functionname,protocol,device,subdevice,function
MUTE,Panasonic_Old,0,-1,0
R-TUNE,Panasonic_Old,0,-1,10
SLEEP,Panasonic_Old,0,-1,11
TV/VIDEO,Panasonic_Old,0,-1,13
AGAIN,Panasonic_Old,0,-1,15
1,Panasonic_Old,0,-1,16
2,Panasonic_Old,0,-1,17
3,Panasonic_Old,0,-1,18
4,Panasonic_Old,0,-1,19
5,Panasonic_Old,0,-1,20
6,Panasonic_Old,0,-1,21
7,Panasonic_Old,0,-1,22
8,Panasonic_Old,0,-1,23
9,Panasonic_Old,0,-1,24
0,Panasonic_Old,0,-1,25
POWER,Panasonic_Old,0,-1,32
CHANNEL+,Panasonic_Old,0,-1,34
CHANNEL-,Panasonic_Old,0,-1,35
VOLUME+,Panasonic_Old,0,-1,36
VOLUME-,Panasonic_Old,0,-1,37
