functionname,protocol,device,subdevice,function
KEY_0,RC6,4,-1,0
KEY_1,RC6,4,-1,1
KEY_2,RC6,4,-1,2
KEY_3,RC6,4,-1,3
KEY_4,RC6,4,-1,4
KEY_5,RC6,4,-1,5
KEY_6,RC6,4,-1,6
KEY_7,RC6,4,-1,7
KEY_8,RC6,4,-1,8
KEY_9,RC6,4,-1,9
Display,RC6,4,-1,15
KEY_AGAIN,RC6,4,-1,29
KEY_NEXT,RC6,4,-1,32
KEY_PREVIOUS,RC6,4,-1,33
KEY_PLAYPAUSE,RC6,4,-1,44
KEY_STOP,RC6,4,-1,49
Repeat_A-B,RC6,4,-1,59
KEY_SUBTITLE,RC6,4,-1,75
KEY_AUDIO,RC6,4,-1,78
KEY_UP,RC6,4,-1,88
KEY_DOWN,RC6,4,-1,89
KEY_LEFT,RC6,4,-1,90
KEY_RIGHT,RC6,4,-1,91
KEY_OK,RC6,4,-1,92
USB,RC6,4,-1,126
KEY_POWER,RC6,4,-1,199
KEY_MENU,RC6,4,-1,209
KEY_ZOOM,RC6,4,-1,247
