functionname,protocol,device,subdevice,function
KEY_0,RC5,5,-1,0
KEY_1,RC5,5,-1,1
KEY_2,RC5,5,-1,2
KEY_3,RC5,5,-1,3
KEY_4,RC5,5,-1,4
KEY_5,RC5,5,-1,5
KEY_6,RC5,5,-1,6
KEY_7,RC5,5,-1,7
KEY_8,RC5,5,-1,8
KEY_9,RC5,5,-1,9
KEY_102ND,RC5,5,-1,10
A/V,RC5,5,-1,11
KEY_2-,RC5,5,-1,11
KEY_POWER,RC5,5,-1,12
KEY_MUTE,RC5,5,-1,13
KEY_VOLUMEUP,RC5,5,-1,16
KEY_VOLUMEDOWN,RC5,5,-1,17
KEY_CHANNELUP,RC5,5,-1,32
KEY_CHANNELDOWN,RC5,5,-1,33
KEY_REWIND,RC5,5,-1,37
KEY_FASTFORWARD,RC5,5,-1,38
KEY_PAUSE,RC5,5,-1,41
KEY_PLAY,RC5,5,-1,53
KEY_STOP,RC5,5,-1,54
KEY_RECORD,RC5,5,-1,55
