functionname,protocol,device,subdevice,function
tv/0,RC5,0,-1,0
vcr/0,RC5,5,-1,0
tv/1,RC5,0,-1,1
vcr/1,RC5,5,-1,1
tv/2,RC5,0,-1,2
vcr/2,RC5,5,-1,2
tv/3,RC5,0,-1,3
vcr/3,RC5,5,-1,3
tv/4,RC5,0,-1,4
vcr/4,RC5,5,-1,4
tv/5,RC5,0,-1,5
vcr/5,RC5,5,-1,5
tv/6,RC5,0,-1,6
vcr/6,RC5,5,-1,6
tv/7,RC5,0,-1,7
vcr/7,RC5,5,-1,7
tv/8,RC5,0,-1,8
vcr/8,RC5,5,-1,8
tv/9,RC5,0,-1,9
vcr/9,RC5,5,-1,9
tv/digits,RC5,0,-1,10
vcr/digits,RC5,5,-1,10
tv/sdigits,RC5,0,-1,11
vcr/stt.suspend,RC5,5,-1,11
tv/standby,RC5,0,-1,12
vcr/standby,RC5,5,-1,12
tv/mute,RC5,0,-1,13
tv/s1,RC5,0,-1,14
vcr/s1,RC5,5,-1,14
tv/sext,RC5,0,-1,15
tv/sok,RC5,0,-1,15
vcr/select,RC5,5,-1,15
tv/volume+,RC5,0,-1,16
tv/volume-,RC5,0,-1,17
tv/s5,RC5,0,-1,29
vcr/tt.suspend,RC5,5,-1,29
tv/program+,RC5,0,-1,32
vcr/program+,RC5,5,-1,32
tv/program-,RC5,0,-1,33
vcr/program-,RC5,5,-1,33
tv/s0,RC5,0,-1,34
tv/smute,RC5,0,-1,35
vcr/sbackward,RC5,5,-1,37
vcr/sforward,RC5,5,-1,38
tv/tt.suspend,RC5,0,-1,41
vcr/spause,RC5,5,-1,41
tv/s3,RC5,0,-1,42
tv/tt.enlarge,RC5,0,-1,43
tv/s4,RC5,0,-1,45
tv/s2,RC5,0,-1,46
vcr/pause,RC5,5,-1,48
vcr/sdisplay,RC5,5,-1,49
vcr/backward,RC5,5,-1,50
vcr/forward,RC5,5,-1,52
vcr/play,RC5,5,-1,53
vcr/stop,RC5,5,-1,54
vcr/record,RC5,5,-1,55
tv/ext,RC5,0,-1,56
vcr/ext,RC5,5,-1,56
vcr/stt.enlarge,RC5,5,-1,58
tv/text,RC5,0,-1,60
vcr/text,RC5,5,-1,60
vcr/stext,RC5,5,-1,61
tv/select,RC5,0,-1,63
vcr/tt.enlarge,RC5,5,-1,69
vcr/s3,RC5,5,-1,72
vcr/s2,RC5,5,-1,73
tv/s9,RC5,0,-1,77
tv/s7,RC5,0,-1,78
tv/sprogram+,RC5,0,-1,80
vcr/sprogram+,RC5,5,-1,80
tv/sprogram-,RC5,0,-1,81
vcr/sprogram-,RC5,5,-1,81
tv/menu,RC5,0,-1,82
vcr/menu,RC5,5,-1,82
vcr/smenu,RC5,5,-1,83
tv/svol-,RC5,0,-1,85
vcr/svol-,RC5,5,-1,85
tv/svol+,RC5,0,-1,86
vcr/svol+,RC5,5,-1,86
tv/ok,RC5,0,-1,87
vcr/ok,RC5,5,-1,87
tv/s6,RC5,0,-1,88
tv/red,RC5,0,-1,107
tv/green,RC5,0,-1,108
tv/yellow,RC5,0,-1,109
tv/blue,RC5,0,-1,110
tv/grey,RC5,0,-1,111
vcr/splay,RC5,5,-1,112
vcr/sstop,RC5,5,-1,113
tv/smenu,RC5,0,-1,122
vcr/sok,RC5,5,-1,125
tv/s8,RC5,0,-1,126
