functionname,protocol,device,subdevice,function
KEY_UP,Panasonic_Old,27,-1,2
KEY_LEFT,Panasonic_Old,27,-1,3
KEY_RIGHT,Panasonic_Old,27,-1,4
KEY_PAUSE,Panasonic_Old,27,-1,5
KEY_INFO,Panasonic_Old,27,-1,6
KEY_POWER,Panasonic_Old,27,-1,7
info/select,Panasonic_Old,27,-1,8
KEY_DOWN,Panasonic_Old,27,-1,11
KEY_OK,Panasonic_Old,27,-1,12
input,Panasonic_Old,27,-1,13
KEY_PREVIOUS,Panasonic_Old,27,-1,14
KEY_ENTER,Panasonic_Old,27,-1,15
KEY_1,Panasonic_Old,27,-1,16
KEY_2,Panasonic_Old,27,-1,17
KEY_3,Panasonic_Old,27,-1,18
KEY_4,Panasonic_Old,27,-1,19
KEY_5,Panasonic_Old,27,-1,20
KEY_6,Panasonic_Old,27,-1,21
KEY_7,Panasonic_Old,27,-1,22
KEY_8,Panasonic_Old,27,-1,23
KEY_9,Panasonic_Old,27,-1,24
KEY_0,Panasonic_Old,27,-1,25
KEY_CHANNELUP,Panasonic_Old,27,-1,29
KEY_CHANNELDOWN,Panasonic_Old,27,-1,30
KEY_VOLUMEUP,Panasonic_Old,27,-1,32
KEY_VOLUMEDOWN,Panasonic_Old,27,-1,33
KEY_MUTE,Panasonic_Old,27,-1,34
KEY_SUBTITLE,Panasonic_Old,27,-1,38
scan+,Panasonic_Old,27,-1,40
scan-,Panasonic_Old,27,-1,41
KEY_QUIT,Panasonic_Old,27,-1,44
KEY_PLAY,Panasonic_Old,27,-1,51
KEY_STOP,Panasonic_Old,27,-1,52
KEY_RECORD,Panasonic_Old,27,-1,53
pip,Panasonic_Old,27,-1,59
toggle,Panasonic_Old,27,-1,60
KEY_MENU,Panasonic_Old,27,-1,62
KEY_SLEEP,Panasonic_Old,27,-1,63
