functionname,protocol,device,subdevice,function
KEY_0,RC5,0,-1,0
KEY_1,RC5,0,-1,1
KEY_2,RC5,0,-1,2
KEY_3,RC5,0,-1,3
KEY_4,RC5,0,-1,4
KEY_5,RC5,0,-1,5
KEY_6,RC5,0,-1,6
KEY_7,RC5,0,-1,7
KEY_8,RC5,0,-1,8
KEY_9,RC5,0,-1,9
singele_double_digits,RC5,0,-1,10
C/P,RC5,0,-1,11
KEY_POWER,RC5,0,-1,12
KEY_MUTE,RC5,0,-1,13
KEY_N,RC5,0,-1,14
KEY_ZOOM,RC5,0,-1,15
brightness_up,RC5,0,-1,18
brightness_down,RC5,0,-1,19
contrast_up,RC5,0,-1,20
contrast_down,RC5,0,-1,21
bass_up,RC5,0,-1,22
bass_down,RC5,0,-1,23
treble_up,RC5,0,-1,24
treble_down,RC5,0,-1,25
balance_left,RC5,0,-1,26
balance_right,RC5,0,-1,27
KEY_EXIT,RC5,0,-1,28
tt_menu_enter,RC5,0,-1,29
tt_next,RC5,0,-1,30
KEY_CHANNELUP,RC5,0,-1,32
KEY_CHANNELDOWN,RC5,0,-1,33
swap_channel,RC5,0,-1,34
I/II,RC5,0,-1,35
stereo_dunno,RC5,0,-1,36
alt_power,RC5,0,-1,38
KEY_3_and_up,RC5,0,-1,40
tt_shrink,RC5,0,-1,41
tt_clock,RC5,0,-1,42
tt_expand,RC5,0,-1,43
tt_question,RC5,0,-1,44
tt_X,RC5,0,-1,45
tt_halfimage,RC5,0,-1,46
vcr_rewind_yellow,RC5,0,-1,50
vcr_fastforward_blue,RC5,0,-1,52
tt_info,RC5,0,-1,53
vcr_stop_green,RC5,0,-1,54
vcr_playrecord_red,RC5,0,-1,55
IN_OUT,RC5,0,-1,56
tt_on,RC5,0,-1,60
tt_off,RC5,0,-1,63
