functionname,protocol,device,subdevice,function
KEY_0,RC5,0,-1,0
KEY_1,RC5,0,-1,1
KEY_2,RC5,0,-1,2
KEY_3,RC5,0,-1,3
KEY_4,RC5,0,-1,4
KEY_5,RC5,0,-1,5
KEY_6,RC5,0,-1,6
KEY_7,RC5,0,-1,7
KEY_8,RC5,0,-1,8
KEY_9,RC5,0,-1,9
KEY_POWER,RC5,0,-1,12
KEY_MUTE,RC5,0,-1,13
KEY_INFO,RC5,0,-1,15
KEY_VOLUMEUP,RC5,0,-1,16
KEY_VOLUMEDOWN,RC5,0,-1,17
Surround,RC5,0,-1,20
ShiftMute,RC5,0,-1,21
KEY_CHANNELUP,RC5,0,-1,32
KEY_CHANNELDOWN,RC5,0,-1,33
PP,RC5,0,-1,34
KEY_FAVORITES,RC5,0,-1,35
Timer,RC5,0,-1,36
TextHalt,RC5,0,-1,41
a1829,RC5,0,-1,41
TextOff,RC5,0,-1,43
TextOff,RC5,0,-1,43
Disc,RC5,0,-1,46
A/V,RC5,0,-1,56
KEY_VIDEO,RC5,0,-1,60
KEY_VIDEO,RC5,0,-1,60
KEY_SUBTITLE,RC5,0,-1,65
KEY_UP,RC5,0,-1,80
KEY_DOWN,RC5,0,-1,81
KEY_MENU,RC5,0,-1,82
KEY_LEFT,RC5,0,-1,85
KEY_RIGHT,RC5,0,-1,86
KEY_OK,RC5,0,-1,87
Install,RC5,0,-1,88
KEY_REWIND,RC5,0,-1,107
KEY_STOP,RC5,0,-1,108
KEY_PAUSE,RC5,0,-1,109
KEY_FORWARD,RC5,0,-1,110
KEY_BACK,RC5,0,-1,111
KEY_INFO,RC5,0,-1,120
Breitbild,RC5,0,-1,126
