functionname,protocol,device,subdevice,function
KEY_0,RC5,0,-1,0
KEY_1,RC5,0,-1,1
KEY_2,RC5,0,-1,2
KEY_3,RC5,0,-1,3
KEY_4,RC5,0,-1,4
KEY_5,RC5,0,-1,5
KEY_6,RC5,0,-1,6
KEY_7,RC5,0,-1,7
KEY_8,RC5,0,-1,8
KEY_9,RC5,0,-1,9
PSEL,RC5,0,-1,10
OFF2,RC5,0,-1,12
KEY_MUTE,RC5,0,-1,13
KEY_POWER,RC5,0,-1,14
KEY_MODE,RC5,0,-1,15
KEY_VOLUMEUP,RC5,0,-1,16
KEY_VOLUMEDOWN,RC5,0,-1,17
BR+,RC5,0,-1,18
BR-,RC5,0,-1,19
BW+,RC5,0,-1,20
BW-,RC5,0,-1,21
KEY_CHANNELUP,RC5,0,-1,32
KEY_CHANNELDOWN,RC5,0,-1,33
PPREV,RC5,0,-1,34
OFF1,RC5,0,-1,38
OPT1,RC5,0,-1,41
TIMER,RC5,0,-1,42
OPT4,RC5,0,-1,43
OPT3,RC5,0,-1,44
OPT2,RC5,0,-1,45
SPLIT,RC5,0,-1,46
KEY_PREVIOUS,RC5,0,-1,50
KEY_NEXT,RC5,0,-1,52
KEY_INFO,RC5,0,-1,53
KEY_STOP,RC5,0,-1,54
KEY_PLAY,RC5,0,-1,55
KEY_VIDEO,RC5,0,-1,56
VT,RC5,0,-1,60
SCREEN,RC5,0,-1,63
