functionname,protocol,device,subdevice,function
KEY_0,NEC,162,-1,0
KEY_1,NEC,162,-1,1
KEY_2,NEC,162,-1,2
KEY_3,NEC,162,-1,3
KEY_4,NEC,162,-1,4
KEY_5,NEC,162,-1,5
KEY_6,NEC,162,-1,6
KEY_7,NEC,162,-1,7
KEY_8,NEC,162,-1,8
KEY_9,NEC,162,-1,9
Level+,NEC,162,-1,10
Level-,NEC,162,-1,11
Program,NEC,162,-1,13
Manual_Forward,NEC,162,-1,14
Manual_Back,NEC,162,-1,15
Track_Forward,NEC,162,-1,16
Track_Back,NEC,162,-1,17
KEY_STOP,NEC,162,-1,22
KEY_PLAY,NEC,162,-1,23
KEY_PAUSE,NEC,162,-1,24
KEY_POWER,NEC,162,-1,28
RandomPlay,NEC,162,-1,74
KEY_OPEN,NEC,162,-1,81
>20,NEC,162,-1,86
Hi-LiteScan,NEC,162,-1,94
KEY_0,NEC,162,-1,128
KEY_1,NEC,162,-1,129
KEY_2,NEC,162,-1,130
KEY_3,NEC,162,-1,131
KEY_4,NEC,162,-1,132
KEY_5,NEC,162,-1,133
KEY_6,NEC,162,-1,134
KEY_7,NEC,162,-1,135
KEY_8,NEC,162,-1,136
KEY_9,NEC,162,-1,137
KEY_0_Prefix,NEC,162,-1,192
