functionname,protocol,device,subdevice,function
KEY_0,NEC,168,-1,0
KEY_1,NEC,168,-1,1
KEY_2,NEC,168,-1,2
KEY_3,NEC,168,-1,3
KEY_4,NEC,168,-1,4
KEY_5,NEC,168,-1,5
KEY_6,NEC,168,-1,6
KEY_7,NEC,168,-1,7
KEY_8,NEC,168,-1,8
KEY_9,NEC,168,-1,9
KEY_FASTFORWARD,NEC,168,-1,16
KEY_REWIND,NEC,168,-1,17
chp/tm,NEC,168,-1,19
KEY_STOP,NEC,168,-1,22
KEY_PLAY,NEC,168,-1,23
KEY_PAUSE,NEC,168,-1,24
memory,NEC,168,-1,25
KEY_OPEN,NEC,168,-1,25
KEY_POWER,NEC,168,-1,28
KEY_AUDIO,NEC,168,-1,30
KEY_10CHANNELSUP,NEC,168,-1,31
display,NEC,168,-1,67
KEY_AGAIN,NEC,168,-1,68
KEY_CLEAR,NEC,168,-1,69
repeata-b,NEC,168,-1,72
pgm,NEC,168,-1,76
step-,NEC,168,-1,80
seek+,NEC,168,-1,82
seek-,NEC,168,-1,83
step+,NEC,168,-1,84
multi-speed-,NEC,168,-1,85
multi-speed+,NEC,168,-1,88
intro,NEC,168,-1,90
random,NEC,168,-1,94
