functionname,protocol,device,subdevice,function
KEY_STOP,NEC,163,-1,152
STANDBY/ON,NEC,163,-1,153
KEY_OPEN,NEC,163,-1,153
KEY_AUDIO,NEC,163,-1,153
KEY_SUBTITLE,NEC,163,-1,153
KEY_ANGLE,NEC,163,-1,153
KEY_1,NEC,163,-1,153
KEY_2,NEC,163,-1,153
KEY_3,NEC,163,-1,153
KEY_CLEAR,NEC,163,-1,153
KEY_4,NEC,163,-1,153
KEY_5,NEC,163,-1,153
KEY_6,NEC,163,-1,153
KEY_ENTER,NEC,163,-1,153
KEY_7,NEC,163,-1,153
KEY_8,NEC,163,-1,153
KEY_9,NEC,163,-1,153
KEY_0,NEC,163,-1,153
TOP_MENU,NEC,163,-1,153
KEY_MENU,NEC,163,-1,153
KEY_UP,NEC,163,-1,153
KEY_LEFT,NEC,163,-1,153
KEY_ENTER,NEC,163,-1,153
KEY_RIGHT,NEC,163,-1,153
KEY_DOWN,NEC,163,-1,153
KEY_SETUP,NEC,163,-1,153
KEY_ENTER,NEC,163,-1,153
BWD,NEC,163,-1,153
KEY_FORWARD,NEC,163,-1,153
KEY_PLAY,NEC,163,-1,153
SURROUND,NEC,163,-1,153
KEY_ZOOM,NEC,163,-1,153
DISPLAY,NEC,163,-1,153
KEY_NEXT,NEC,163,-1,156
KEY_PREVIOUS,NEC,163,-1,157
KEY_PLAY,NEC,163,-1,158
KEY_PAUSE,NEC,163,-1,159
