functionname,protocol,device,subdevice,function
ANTENNA,RCA,15,-1,5
CLEAR,RCA,15,-1,6
MENU,RCA-38,15,-1,8
MENU,RCA,15,-1,8
FREEZE,RCA-38,15,-1,12
FREEZE,RCA,15,-1,12
RESET,RCA,15,-1,18
GUIDE,RCA,15,-1,26
PIP,RCA-38,15,-1,27
PIP AUDIO MONITOR,RCA,15,-1,27
ID,RCA,15,-1,30
PREVIOUS CHANNEL,RCA-38,15,-1,39
PC,RCA,15,-1,39
PREV CH,RCA,15,-1,39
CHANNEL -,RCA-38,15,-1,44
CHANNEL -,RCA,15,-1,44
CHANNEL +,RCA-38,15,-1,45
CHANNEL +,RCA,15,-1,45
VOLUME -,RCA-38,15,-1,46
VOLUME -,RCA,15,-1,46
VOLUME +,RCA-38,15,-1,47
VOLUME +,RCA,15,-1,47
0,RCA-38,15,-1,48
0,RCA,15,-1,48
1,RCA-38,15,-1,49
1,RCA,15,-1,49
2,RCA-38,15,-1,50
2,RCA,15,-1,50
3,RCA-38,15,-1,51
3,RCA,15,-1,51
4,RCA-38,15,-1,52
4,RCA,15,-1,52
5,RCA-38,15,-1,53
5,RCA,15,-1,53
6,RCA-38,15,-1,54
6,RCA,15,-1,54
7,RCA-38,15,-1,55
7,RCA,15,-1,55
8,RCA-38,15,-1,56
8,RCA,15,-1,56
9,RCA-38,15,-1,57
9,RCA,15,-1,57
POWER ON,RCA,15,-1,58
POWER ON,RCA-38,15,-1,58
TV,RCA,15,-1,58
POWER OFF,RCA,15,-1,59
POWER OFF,RCA-38,15,-1,59
POWER,RCA,15,-1,59
DISPLAY,RCA-38,15,-1,60
DISPLAY,RCA,15,-1,60
MUTE,RCA-38,15,-1,63
MUTE,RCA,15,-1,63
CS,RCA,15,-1,83
SKIP,RCA,15,-1,83
MOVE LEFT,RCA,15,-1,86
MOVE RIGHT,RCA,15,-1,87
MOVE DOWN,RCA,15,-1,88
MOVE UP,RCA,15,-1,89
SURROUND,RCA,15,-1,90
MENU -,RCA,15,-1,100
MENU +,RCA,15,-1,101
CINEMA,RCA-38,15,-1,144
SPLIT SCREEN,RCA-38,15,-1,145
SPLIT,RCA,15,-1,145
POP,RCA,15,-1,146
FETCH,RCA,15,-1,147
INPUT SOURCE,RCA-38,15,-1,163
INPUT SOURCE,RCA,15,-1,163
SWAP,RCA-38,15,-1,195
SWAP,RCA,15,-1,195
SCAN,RCA,15,-1,196
SIZE,RCA,15,-1,197
CH CTRL,RCA,15,-1,229
