functionname,protocol,device,subdevice,function
0,RC6,39,-1,0
1,RC6,39,-1,1
2,RC6,39,-1,2
3,RC6,39,-1,3
4,RC6,39,-1,4
5,RC6,39,-1,5
6,RC6,39,-1,6
7,RC6,39,-1,7
8,RC6,39,-1,8
9,RC6,39,-1,9
Power,RC6,39,-1,12
Mute,RC6,39,-1,13
Vol_Up,RC6,39,-1,16
Vol_Down,RC6,39,-1,17
Ch_Up,RC6,39,-1,32
Ch_Down,RC6,39,-1,33
TV,RC6,39,-1,67
Plus,RC6,39,-1,76
Up,RC6,39,-1,88
Down,RC6,39,-1,89
Left,RC6,39,-1,90
Rigth,RC6,39,-1,91
Ok,RC6,39,-1,92
Menu,RC6,39,-1,102
Red,RC6,39,-1,109
Green,RC6,39,-1,110
Yellow,RC6,39,-1,111
Blue,RC6,39,-1,112
Back,RC6,39,-1,131
?,RC6,39,-1,203
EPG,RC6,39,-1,204
i,RC6,39,-1,245
