functionname,protocol,device,subdevice,function
KEY_POWER,NEC,138,245,0
KEY_3,NEC,138,245,1
KEY_2,NEC,138,245,2
KEY_1,NEC,138,245,3
STORE,NEC,138,245,4
KEY_6,NEC,138,245,5
KEY_5,NEC,138,245,6
KEY_4,NEC,138,245,7
KEY_MENU,NEC,138,245,8
KEY_9,NEC,138,245,9
KEY_8,NEC,138,245,10
KEY_7,NEC,138,245,11
KEY_RIGHT,NEC,138,245,13
KEY_0,NEC,138,245,14
KEY_LEFT,NEC,138,245,17
LT,NEC,138,245,19
EAST,NEC,138,245,21
WEST,NEC,138,245,22
KEY_SAT,NEC,138,245,23
CROSS,NEC,138,245,24
KEY_MUTE,NEC,138,245,25
KEY_UP,NEC,138,245,26
KEY_DOWN,NEC,138,245,27
