functionname,protocol,device,subdevice,function
KEY_POWER,NEC,0,127,0
KEY_3,NEC,0,127,1
KEY_2,NEC,0,127,2
KEY_1,NEC,0,127,3
KEY_EXIT,NEC,0,127,4
KEY_6,NEC,0,127,5
KEY_5,NEC,0,127,6
KEY_4,NEC,0,127,7
KEY_OK,NEC,0,127,8
KEY_9,NEC,0,127,9
KEY_8,NEC,0,127,10
KEY_7,NEC,0,127,11
KEY_RIGHT,NEC,0,127,13
KEY_0,NEC,0,127,14
KEY_RED,NEC,0,127,15
KEY_I,NEC,0,127,16
KEY_LEFT,NEC,0,127,17
KEY_EPG,NEC,0,127,18
KEY_BLUE,NEC,0,127,19
KEY_MUTE,NEC,0,127,20
KEY_BACK,NEC,0,127,21
KEY_YELLOW,NEC,0,127,22
schnell-hoch,NEC,0,127,23
KEY_MENU,NEC,0,127,25
KEY_UP,NEC,0,127,26
KEY_DOWN,NEC,0,127,27
schnell-runter,NEC,0,127,28
musik,NEC,0,127,30
lt,NEC,0,127,66
KEY_VOLUMEDOWN,NEC,0,127,68
KEY_VOLUMEUP,NEC,0,127,72
KEY_GREEN,NEC,0,127,73
