functionname,protocol,device,subdevice,function
INFO,DirecTV,10,-1,128
MENU,DirecTV,10,-1,129
EXIT,DirecTV,10,-1,130
HELP,DirecTV,10,-1,131
GENRE,DirecTV,10,-1,132
,DirecTV,10,-1,132
ARTIST,DirecTV,10,-1,134
SEARCH,DirecTV,10,-1,135
CURSOR UP,DirecTV,10,-1,136
CURSOR DOWN,DirecTV,10,-1,137
CURSOR RIGHT,DirecTV,10,-1,138
CURSOR LEFT,DirecTV,10,-1,139
CURSOR ENTER,DirecTV,10,-1,140
SKIP <<,DirecTV,10,-1,141
PLAY,DirecTV,10,-1,142
SKIP >>,DirecTV,10,-1,143
THEME,DirecTV,10,-1,165
POWER,DirecTV,10,-1,176
STREAM 1,DirecTV,10,-1,177
STREAM 2,DirecTV,10,-1,178
STREAM 3,DirecTV,10,-1,179
F1,DirecTV,10,-1,180
F2,DirecTV,10,-1,181
F3,DirecTV,10,-1,182
