functionname,protocol,device,subdevice,function
KEY_1,RECS80,7,-1,0
KEY_4,RECS80,7,-1,1
KEY_7,RECS80,7,-1,2
Color+,RECS80,7,-1,3
Color-,RECS80,7,-1,4
KEY_MUTE,RECS80,7,-1,5
KEY_C,RECS80,7,-1,6
KEY_2,RECS80,7,-1,8
KEY_5,RECS80,7,-1,9
KEY_8,RECS80,7,-1,10
Bright+,RECS80,7,-1,11
Bright-,RECS80,7,-1,12
KEY_0,RECS80,7,-1,14
KEY_3,RECS80,7,-1,16
KEY_6,RECS80,7,-1,17
KEY_9,RECS80,7,-1,18
VT/TV,RECS80,7,-1,21
AV,RECS80,7,-1,24
KEY_VOLUMEUP,RECS80,7,-1,27
KEY_VOLUMEDOWN,RECS80,7,-1,28
KEY_POWER,RECS80,7,-1,29
Norm,RECS80,7,-1,30
Treble,RECS80,7,-1,32
Bass,RECS80,7,-1,33
Page,RECS80,7,-1,34
Contrast,RECS80,7,-1,35
Sound3D,RECS80,7,-1,36
Balance,RECS80,7,-1,37
KEY_S,RECS80,7,-1,40
KEY_KPPLUS,RECS80,7,-1,41
KEY_KPMINUS,RECS80,7,-1,42
MIX,RECS80,7,-1,43
Progr/100,RECS80,7,-1,52
CS/Stop,RECS80,7,-1,53
KEY_TIME,RECS80,7,-1,54
