functionname,protocol,device,subdevice,function
0,Proton,21,-1,0
1,Proton,21,-1,1
2,Proton,21,-1,2
3,Proton,21,-1,3
4,Proton,21,-1,4
5,Proton,21,-1,5
6,Proton,21,-1,6
7,Proton,21,-1,7
8,Proton,21,-1,8
9,Proton,21,-1,9
STOP,Proton,21,-1,13
PLAY,Proton,21,-1,14
FFWD,Proton,21,-1,15
FRWD,Proton,21,-1,16
PAUSE,Proton,21,-1,17
RECORD,Proton,21,-1,18
SLOW_MOTION,Proton,21,-1,19
POWER,Proton,21,-1,21
TV_VCR,Proton,21,-1,22
PR+,Proton,21,-1,23
PR-,Proton,21,-1,24
AD,Proton,21,-1,25
A_SEL,Proton,21,-1,26
SP_LP,Proton,21,-1,27
A,Proton,21,-1,29
FFWD_30,Proton,21,-1,30
PAL_SEC,Proton,21,-1,31
EJECT,Proton,21,-1,33
MENU,Proton,21,-1,34
QS,Proton,21,-1,39
OK,Proton,21,-1,41
LEFT,Proton,21,-1,49
INDEX+,Proton,21,-1,51
RIGHT,Proton,21,-1,53
AV,Proton,21,-1,54
SV_V+,Proton,21,-1,57
INDEX-,Proton,21,-1,63
