functionname,protocol,device,subdevice,function
tv/vcr,NECx,5,5,1
KEY_1,NECx,5,5,4
KEY_2,NECx,5,5,5
KEY_3,NECx,5,5,6
KEY_4,NECx,5,5,8
KEY_5,NECx,5,5,9
KEY_6,NECx,5,5,10
KEY_7,NECx,5,5,12
KEY_8,NECx,5,5,13
KEY_9,NECx,5,5,14
KEY_0,NECx,5,5,17
KEY_RIGHT,NECx,5,5,19
KEY_RECORD,NECx,5,5,20
KEY_STOP,NECx,5,5,21
KEY_LEFT,NECx,5,5,23
KEY_REWIND,NECx,5,5,24
KEY_PLAYPAUSE,NECx,5,5,25
KEY_FASTFORWARD,NECx,5,5,26
KEY_ENTER,NECx,5,5,29
KEY_INFO,NECx,5,5,30
KEY_SUBTITLE,NECx,5,5,34
KEY_VCR,NECx,5,5,40
mark/search,NECx,5,5,43
KEY_UP,NECx,5,5,44
KEY_DOWN,NECx,5,5,45
KEY_CLEAR,NECx,5,5,49
progressive/speed,NECx,5,5,58
KEY_AUDIO,NECx,5,5,61
KEY_ENTER,NECx,5,5,67
angle/timer,NECx,5,5,69
KEY_POWER,NECx,5,5,72
KEY_DVD,NECx,5,5,85
input_sel,NECx,5,5,89
disc_menu,NECx,5,5,96
mode/repeat,NECx,5,5,102
KEY_MENU,NECx,5,5,104
