functionname,protocol,device,subdevice,function
KEY_LANGUAGE,NECx,7,7,0
KEY_CYCLEWINDOWS,NECx,7,7,1
KEY_POWER,NECx,7,7,2
KEY_SLEEP,NECx,7,7,3
KEY_1,NECx,7,7,4
KEY_2,NECx,7,7,5
KEY_3,NECx,7,7,6
KEY_VOLUMEUP,NECx,7,7,7
KEY_4,NECx,7,7,8
KEY_5,NECx,7,7,9
KEY_6,NECx,7,7,10
KEY_VOLUMEDOWN,NECx,7,7,11
KEY_7,NECx,7,7,12
KEY_8,NECx,7,7,13
KEY_9,NECx,7,7,14
KEY_MUTE,NECx,7,7,15
KEY_CHANNELDOWN,NECx,7,7,16
KEY_0,NECx,7,7,17
KEY_CHANNELUP,NECx,7,7,18
KEY_PREVIOUS,NECx,7,7,19
KEY_GREEN,NECx,7,7,20
KEY_YELLOW,NECx,7,7,21
KEY_BLUE,NECx,7,7,22
KEY_MENU,NECx,7,7,26
KEY_INFO,NECx,7,7,31
KEY_102ND,NECx,7,7,35
KEY_SUBTITLE,NECx,7,7,37
KEY_EXIT,NECx,7,7,45
KEY_SWITCHVIDEOMODE,NECx,7,7,62
KEY_REWIND,NECx,7,7,69
KEY_STOP,NECx,7,7,70
KEY_PLAY,NECx,7,7,71
KEY_FASTFORWARD,NECx,7,7,72
KEY_PAUSE,NECx,7,7,74
KEY_OPTION,NECx,7,7,75
KEY_BACK,NECx,7,7,88
KEY_UP,NECx,7,7,96
KEY_DOWN,NECx,7,7,97
KEY_RIGHT,NECx,7,7,98
KEY_LEFT,NECx,7,7,101
KEY_SELECT,NECx,7,7,104
KEY_LIST,NECx,7,7,107
KEY_RED,NECx,7,7,108
KEY_MEDIA,NECx,7,7,140
