functionname,protocol,device,subdevice,function
KEY_KPPLUS,NEC,49,-1,1
KEY_KPMINUS,NEC,49,-1,2
KEY_1,NEC,49,-1,4
KEY_2,NEC,49,-1,5
KEY_3,NEC,49,-1,6
KEY_4,NEC,49,-1,7
TV/VCR,NEC,49,-1,8
KEY_5,NEC,49,-1,12
KEY_6,NEC,49,-1,13
KEY_7,NEC,49,-1,14
KEY_8,NEC,49,-1,15
KEY_STOP,NEC,49,-1,16
PAUSE/STILL,NEC,49,-1,17
KEY_REWIND,NEC,49,-1,18
KEY_FORWARD,NEC,49,-1,19
KEY_PLAY,NEC,49,-1,20
KEY_RECORD,NEC,49,-1,21
KEY_SLOW,NEC,49,-1,26
KEY_9,NEC,49,-1,28
KEY_0/AV,NEC,49,-1,29
ATR,NEC,49,-1,31
MEMORY,NEC,49,-1,67
RESET,NEC,49,-1,68
KEY_OK,NEC,49,-1,75
DISPLAY,NEC,49,-1,76
KEY_POWER,NEC,49,-1,91
SP/LP,NEC,49,-1,94
SHOW_VIEW,NEC,49,-1,140
CURSOR_RIGHT,NEC,49,-1,148
CURSOR_LEFT,NEC,49,-1,149
CURSOR_DOWN,NEC,49,-1,150
CURSOR_UP,NEC,49,-1,151
MENU/TV,NEC,49,-1,202
